Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage - Temporal	Location	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Editor	Attention	Rights	Copyright	Object ID	Digital ID	Type	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
President Jay Pearson and business leaders at Top Management Seminar				Written on verso: "Left to right: Mr. William T. Brady, President, Corn Products Company; Mr. John W. Wight, Vice President, McGraw Hill Book Company; Mr. D.J. Hardenbrook, Chairman of the Board, American Creosoting Company; and Dr. Jay F.W. Pearson."		Photographs	1959	1950-1960	Coral Gables (Florida)	1 b&w photograph; 20.65 x 25.4 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 1;  Folder No. 3;  Folder Title: Administration - Top Management Seminar.   Folder Date: 1959	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300550001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/72	72	100.jp2	/umservice/image/100.jp2
Administrator K. Smith						Portrait photographs	1963	1960-1970	Coral Gables (Florida)	1 b&w photograph; 20.6 x 25.4 cm.		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 1;  Folder No. 4;  Folder Title: Administration 1 Ibis.   Folder Date: 1963	cme; AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300680001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/73	73	11.jp2	/umservice/image/11.jp2
Inside the University of Miami bookstore						Photographs	1965	1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.3 x 20.7 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 1;  Folder No. 17;  Folder Title: Bookstore (1965): Photographs Inside the Bookstore.   Folder Date: 1965	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300490001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/74	74	20.jp2	/umservice/image/20.jp2
Shelves of disks in the Ungar Computer Center				Written on front: "65% D1- pg 7 18"; Written on verso: "Computer Center"		Photographs			Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 13;  Folder Title: Computer Center- n.d.   Folder Date: n.d	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300190001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/75	75	68.jp2	/umservice/image/68.jp2
Student Club guard, Phil Sistich	Fisher, Ray			Written on verso: "Phil Sistich Student Club guard"		Portrait photographs			Coral Gables (Florida)	1 b&w photograph; 20.3 x 12.5 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 3;  Folder Title: Campus Police.	AL		© Ray Fisher. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300050001001	Image	image/tiff													2009-06-03	2012-09-13	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/76	76	88.jp2	/umservice/image/88.jp2
Students eating in the Athletic Dining Hall				Written on verso: "Athletic Dining Hall No. Campus 1940s"		Photographs		1940-1950	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 2;  Folder Title: Cafeteria (n.d) 3.	cme; AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300020001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/77	77	13.jp2	/umservice/image/13.jp2
School bus pick-up at West Elementary						Photographs	1949	1940-1950	Coral Gables (Florida)	1 b&w photograph; 25.4x20.7cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 41;  Folder Title: Transportation- n.d 2.   Folder Date: n.d	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300400001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/79	79	74.jp2	/umservice/image/74.jp2
University of Miami bookstore				Written on verso: "Book department (second floor) of University of Miami Bookstore, Coral Gables, Florida"		Photographs		1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.3 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 1;  Folder No. 29;  Folder Title: Bookstore 2.   Folder Date: N.D.	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300970001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/80	80	86.jp2	/umservice/image/86.jp2
Fred Fleming, University of Miami photographer				Written on verso: "Fred Flemming [sic] UM Photographer"		Photographs			Coral Gables (Florida)	1 b&w photograph; 25.3 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 30;  Folder Title: Photo Center.   Folder Date: n.d	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300280001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/81	81	92.jp2	/umservice/image/92.jp2
Students boarding University of Miami bus			Old shuttle buses at main campus bus stop			Photographs			Coral Gables (Florida)	1 b&w photograph; 25.8x200.3cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	0642	Series IX: Alumni and Other Support Organziations	Box No. 2;  Folder No. 41;  Folder Title: Transportation- n.d 2.   Folder Date: n.d	AL		© 2006 University of Miami. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420300430001001	Image	image/tiff													2009-06-03	2011-02-02	http://merrick.library.miami.edu:80/cdm/ref/collection/umservice/id/82	82	98.jp2	/umservice/image/98.jp2
