Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Editor	Rights	Copyright	Object ID	Digital ID	Type	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	Bit Depth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
William A. Little, Professor of Obstetrics				On verso: "William A. Little Prof. Obstetrics"		Portrait photographs			Coral Gables (Florida)	1 b&w photograph; 17.9 x 12.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 6; Folder Title: Faculty: Individual Photos (L).			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420251230001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/230	230	510.jp2	/umpeople/image/510.jp2
Gerry O'Neil, Professor of Management				On verso: "Gerry O'Neil Management Instructor Dec 15, 1950 Hurricane"		Portrait photographs	1950-12-15	1950-1960	Coral Gables (Florida)	1 b&w photograph; 17.7 x 25.8 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 8; Folder Title: Faculty: Individual Photos (N-O). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420254580001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/231	231	349.jp2	/umpeople/image/349.jp2
Elmer V. Hjort, Professor of Chemistry				On verso: Elma Hjort		Photographs		1950-1960	Coral Gables (Florida)	1 b&w photograph; 20.7 x 25.4 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 3; Folder Title: Faculty: Individual Photos (H). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420254160001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/232	232	486.jp2	/umpeople/image/486.jp2
Charles M. Chuckrow, Professor of Journalism				On verso: "Charles M. Chuckrow, Journalism"		Portrait photographs	1949-10-07	1940-1950	Coral Gables (Florida)	1 b&w photograph; 6.4 x 9.0 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 6; Folder No. 25; Folder Title: Faculty: Individual Photos (C). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253910001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/233	233	436.jp2	/umpeople/image/436.jp2
Walter O. Walker, Dean of the Division of Research and Industry				On verso: "Walter Walker"		Portrait photographs			Coral Gables (Florida)	1 b&w photograph; 25.5 x 20.7 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 3; Folder No. 18; Folder Title: Dean: Walker, Walter O- Division of Research and Industry.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250440001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/234	234	255.jp2	/umpeople/image/255.jp2
Nedra McNamara, Assistant Director of Public Information						Portrait photographs	1960	1960-1970	Coral Gables (Florida)	1 b&w photograph; 20.6 x 25.4 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 8; Folder No. 24; Folder Title: Faculty: McNamara, Nedra - Assistant Director of Public Information.   Folder Date: 1960			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420251790001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/235	235	331.jp2	/umpeople/image/331.jp2
George K. Smart, Professor of English	Greenfield, David			On verso: "Dr. George K. Smart Prof. Engligh 1960's-1970's"		Photographs			Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 11; Folder Title: Faculty: Individual Photos (S).			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252130001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/236	236	369.jp2	/umpeople/image/369.jp2
Elsie Fardig, Professor of Music Literature						Portrait photographs	1957	1950-1960	Coral Gables (Florida)	1 b&w photograph; 12.0 x 9.8 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 1; Folder Title: Faculty: Individual Photos (F). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420254020001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/237	237	433.jp2	/umpeople/image/433.jp2
Jay F. W. Pearson, President of the University of Miami with Mrs. Pearson, son Michael, and Melanie Rosborough, Professor of German, all examining plants						Photographs		1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.8 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 11; Folder No. 36; Folder Title: President: (1953) Pearson, J. W. Folder Date: 1953			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253620001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/239	239	120.jp2	/umpeople/image/120.jp2
Thurston Adams, Director of Student Activities						Portrait photographs		1950-1960	Coral Gables (Florida)	1 B&W photograph; 25.4 x 20.7 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 4; Folder No. 1; Folder Title: Director: Adams, Thurston.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250480001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/240	240	253.jp2	/umpeople/image/253.jp2
