Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage Temporal	Coverage Spatial	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Editor	Rights	Copyright	Object ID	Digital ID	Type	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color Space	Bit Depth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Mary B. Merritt, Dean of Women			Dean Mary B. Merritt speaking at an event.			Photographs		1950-1960	Coral Gables (Florida)	1 B&W photograph; 20.6 x 25.4 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 2; Folder No. 28; Folder Title: Dean: Merritt, Mary B. - Dean of Women. Folder Date: Various			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250680001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/0	0	373.jp2	/umpeople/image/373.jp2
Lewis Leary, Professor of English	Coral Gables News Bureau			On verso: "Dr. Lewis Leary Engl. Dept Now at Columbia U"		Photographs			Coral Gables (Florida)	1 b&w photograph; 16.7 x 21.4 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 6; Folder Title: Faculty: Individual Photos (L). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420254310001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/1	1	130.jp2	/umpeople/image/130.jp2
Kendal Paul Morton, founder of the University fo Miami Morton Collectanea, one of the world's largest botanical information centers				On verso: "Kendal Paul Morton Biology"		Portrait photographs	1964-02-01	1960-1970	Coral Gables (Florida)	1 b&w photograph; 18.2 x 12.7 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 7; Folder Title: Faculty: Individual Photos (M).			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420251610001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/2	2	174.jp2	/umpeople/image/174.jp2
Jay F. W. Pearson, President of the University of Miami, in his office						Photographs			Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.8 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 12; Folder No. 15; Folder Title: Pearson, Jay W. F. - President n.d-2.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253490001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/3	3	91.jp2	/umpeople/image/91.jp2
Jay F. W. Pearson, 2nd President of the University of Miami, painting						Photographs			Coral Gables (Florida)	1 b&w photograph; 20.3 x 25.4 cm.		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 13; Folder No. 3; Folder Title: President: (n.d.) Pearson, J. W. 7. Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252850001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/4	4	167.jp2	/umpeople/image/167.jp2
University of Miami President's medal and sash						Photographs			Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.2 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 15; Folder No. 3; Folder Title: Presidential Medal.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253100001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/5	5	220.jp2	/umpeople/image/220.jp2
Irving Musket, Vice President for Research	Blakeley, Ron					Portrait photographs	1961-03	1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 16; Folder No. 6; Folder Title: Vice President Musket, Irving. Folder Date: 1961-03			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253180001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/6	6	196.jp2	/umpeople/image/196.jp2
Jay F. W. Pearson, President of the University of Miami and Robert Frost, American poet, at commencement						Photographs		1960-1970	Coral Gables (Florida)	1 b&w photograph; 20 x 25.3 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 13; Folder No. 2; Folder Title: President: (n.d.) Pearson, J. W. 6. Folder Date: Various			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252830001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/7	7	76.jp2	/umpeople/image/76.jp2
Jay F. W. Pearson, President of the University of Miami; Bowman Foster Ashe, 1st President of the University of Miami; Denman Fink, artist; McMarty, and Harry H.Provin, Director of Athletics				Jay F. W. Pearson, President of the University of Miami (top left); Bowman Foster Ashe, 1st President of the University of Miami (top right); Denman Fink, artist (bottom left); McMarty (bottom center), and Harry H.Provin, Director of Athletics (bottom right)		Photographs	1953	1950-1960	Coral Gables (Florida)	1 b&w photograph; 18.1 x 12.1 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 11; Folder No. 36; Folder Title: President: (1953) Pearson, J. W. Folder Date: 1953	cm		http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253610001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/8	8	214.jp2	/umpeople/image/214.jp2
William C. Knopf, Dean of the School of Engineering			On verso: "Knopf, William C."			Portrait photographs	1964	1960-1970	Coral Gables (Florida)	1 b&w photograph; 20.7 x 25.3 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 2; Folder No. 20; Folder Title: Dean: Knopf, William C. - Engineering. Folder Date: 1964			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250630001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/10	10	518.jp2	/umpeople/image/518.jp2
Henry King Stanford, President of the University of Miami, in homecoming parade				On verso: "Homecoming 73"		Photographs	1973	1970-1980	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.4 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 14; Folder No. 13; Folder Title: President: (1973) Stanford, Henry King. Folder Date: 1973			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253220001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/12	12	30.jp2	/umpeople/image/30.jp2
James M. Beusse, Assistant Director of Adult Education				On verso: "James M. Beusse; Asst. Dir. - Adult Div. Feb ? 1950"		Portrait photographs	1950-02	1950-1960	Coral Gables (Florida)	1 b&w photograph; 12.7 x 10.2 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 6; Folder No. 24; Folder Title: Faculty: Individual Photos (B).			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252680001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/13	13	205.jp2	/umpeople/image/205.jp2
Peter Haven, Professor of Art						Portrait photographs	1965	1960-1970	Coral Gables (Florida)	1 b&w photograph; 6.1 x 6.0 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 3; Folder Title: Faculty: Individual Photos (H). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420254120001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/14	14	416.jp2	/umpeople/image/416.jp2
Paul Feehan, Instruction Librarian and Acting Head of Richter Library Circulation, Otto G. Richter Library						Portrait photographs	1970-05	1970-1980	Coral Gables (Florida)	1 b&w photograph; 17.9 x 12.8 cm.		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 1; Folder Title: Faculty: Individual Photos (F).			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250950001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/15	15	312.jp2	/umpeople/image/312.jp2
Jay F. W. Pearson, President of the University of Miami and his son, Jay, Jr., after inauguration	Fisher, Ray			On verso: "Pearson Inauguration. Dr. Pearson, Jay, Jr, back to camera"		Photographs	1953	1950-1960	Coral Gables (Florida)	1 b&w photograph; 20.3 x 25.2 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 12; Folder No. 1; Folder Title: Pearson, J.W. - Inauguration. Folder Date: 1953		© Ray Fisher. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252660001001	Image	image/tiff													2009-07-01	2012-09-13	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/16	16	270.jp2	/umpeople/image/270.jp2
Jay F. W. Pearson, President of the University of Miami and Robert Frost, American poet, at commencement						Photographs		1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm.		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 13; Folder No. 2; Folder Title: President: (n.d.) Pearson, J. W. 6. Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252840001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/17	17	243.jp2	/umpeople/image/243.jp2
E. Morton Miller, Dean of the College of Arts and Sciences	Greenfield, David			On verso: "E. Morton Miller"		Portrait photographs	1958	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.2 x 20.3cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 3; Folder No. 1; Folder Title: Dean: Miller, Morton- Arts and Sciences.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250310001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/18	18	468.jp2	/umpeople/image/468.jp2
F. G. Walton Smith, Dean of the Institute of Marine Science, 1961				On verso: "Dr. Walton Smith; Inst. Marine Sciences (Marine Lab) 1948?"   Founder of the Marine Laboratory in 1943. Institute of Marine Science is now known as the Rosenstiel School of Marine and Atmospheric Science.		Portrait photographs	1948	1940-1950	Coral Gables (Florida)	1 b&w photograph; 20.7 x 12.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 3; Folder No. 11; Folder Title: Dean: Smith, Walton- Marine Laboratory. Folder Date: 1948			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250370001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/19	19	507.jp2	/umpeople/image/507.jp2
Elda Gineva, Professor of Ceramics				On verso: "Graham, Arthur Prof Voice 1960's"		Portrait photographs		1960-1970	Coral Gables (Florida)	1 b&w photograph; 13.0 x 17.8 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 2; Folder Title: Faculty: Individual Photos (G). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420254060001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/20	20	305.jp2	/umpeople/image/305.jp2
Arthur Maynard, Professor of Religion				On verso: "Hurricane Oct 3, 1952 Page 11 Dr. A. Maynard"		Portrait photographs		1950-1960	Coral Gables (Florida)	1 b&w photograph; 6.5 x 8.1 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 7; Folder Title: Faculty: Individual Photos (M). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420254450001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/22	22	516.jp2	/umpeople/image/516.jp2
John A. Harrison, Dean of the Graduate School	T.S.L.			On verso: "Faculty (1964) Harrison, John TSL"		Portrait photographs	1964	1960-1970	Coral Gables (Florida)	1 b&w photograph; 20.6 x 25.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 2; Folder No. 13; Folder Title: Dean: Harrison, John - Graduate School. Folder Date: 1964			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250290001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/23	23	60.jp2	/umpeople/image/60.jp2
Carroll V. Truss, Associate Dean of the Graduate School and Professor of Psychology						Portrait photographs	1959	1950-1960	Coral Gables (Florida)	1 b&w photograph; 5.9 x 5.9 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 12; Folder Title: Faculty: Individual Photos (T). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420254810001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/24	24	295.jp2	/umpeople/image/295.jp2
Henri Bader, Professor of Engineering						Portrait photographs	1960	1960-1970	Coral Gables (Florida)	Negatives	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 6; Folder No. 24; Folder Title: Faculty: Individual Photos (B). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253750001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/26	26	228.jp2	/umpeople/image/228.jp2
Sam Hirsch, Director of the Ring Theater	Fisher, Ray			On verso: "Sam Hirsch Ring Theatre director", "Hurricane 4-17-53"		Portrait photographs	1953-04-17	1950-1960	Coral Gables (Florida)	1 b&w photograph; 18.2 x 12.9 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 4; Folder No. 26; Folder Title: Directors: Individual Photos.		© Ray Fisher. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420250900001001	Image	image/tiff													2009-07-01	2012-09-13	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/27	27	384.jp2	/umpeople/image/384.jp2
Charles J. Cotterman, University Staff Architect				On verso: "University Architect; 1960s; Faculty Cotterman, Charles J."		Portrait photographs	1964	1960-1970	Coral Gables (Florida)	1 b&w photograph; 18.5 x 12.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 6; Folder No. 25; Folder Title: Faculty: Individual Photos (C).			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252730001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/28	28	212.jp2	/umpeople/image/212.jp2
John R. Beery, Dean of the School of Education				On verso: "John R. Berry; Education School Dean"		Portrait photographs	1951	1950-1960	Coral Gables (Florida)	1 B&W photograph; 20.3 x 25.7 cm.	eng	University of Miami. University Archives	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 1; Folder No. 33; Folder Title: Dean: Beery, John R.: Education. Folder Date: N.D.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252610001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/29	29	162.jp2	/umpeople/image/162.jp2
Aaron Lipman, Professor of Sociology						Portrait photographs		1960-1970	Coral Gables (Florida)	1 b&w photograph; 20.7 x 25.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 8; Folder No. 14; Folder Title: Faculty: Lipman, Aaron - Sociology. Folder Date: Various			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420251730001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/30	30	81.jp2	/umpeople/image/81.jp2
William R. Corson, Professor of Economics				On verso: "Corson Economics"		Photographs			Coral Gables (Florida)	1 b&w photograph; 17.8 x 13 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 6; Folder No. 25; Folder Title: Faculty: Individual Photos (C).			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252740001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/32	32	435.jp2	/umpeople/image/435.jp2
John Chommie, Professor of Law				On verso: "Chommie, John; Prof. Law; 1960's-70's"		Portrait photographs	1960	1960-1970	Coral Gables (Florida)	1 b&w photograph; 6.3 x 5.8 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 6; Folder No. 25; Folder Title: Faculty: Individual Photos (C). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253890001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/33	33	490.jp2	/umpeople/image/490.jp2
J. Ralph Murray, Assistant to the President of the University of Miami and Director of South Campus				On verso: "Acting Dean + Register + Director of South Campus"		Portrait photographs		1940-1950	Coral Gables (Florida)	1 b&w photograph; 9.8 x 12.0 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 7; Folder Title: Faculty: Individual Photos (M). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420254530001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/34	34	353.jp2	/umpeople/image/353.jp2
Thomas J. Wood, Chairman of the Department of Political Science				On verso: "Dr. Thomas Wood Chair Pol. Sci. Dept"		Portrait photographs	1952	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 10; Folder No. 10; Folder Title: Faculty: Wood, Thomas J..			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252240001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/35	35	51.jp2	/umpeople/image/51.jp2
Vernon K. Watson, Professor of Food Technology				On verso: "Prof. Vernon K. Watson in one of the Food Technology Labs at South Campus"		Photographs	1957	1950-1960	Coral Gables (Florida)	1 b&w photograph; 17.7 x 12.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 8; Folder No. 1; Folder Title: Faculty: Individual Photos (W). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420254930001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/36	36	426.jp2	/umpeople/image/426.jp2
Michael Pearson, son of University of Miami President Jay F. W. Pearson, operating train set						Photographs		1950-1960	Coral Gables (Florida)	1 b&w photograph; 20.8 x 25.4 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 13; Folder No. 4; Folder Title: President: (n.d.) Pearson, J. W. 8 - Family. Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252880001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/37	37	367.jp2	/umpeople/image/367.jp2
Jay F. W. Pearson, President of the University of Miami and Board of Trustees members John S. Knight,McGregor Smith, Daniel T.Mahoney, and Harry Hood Bassett, at commencement luncheon				On verso: "2nd from left - Dr. Pearson, (man lighting cigarette) - Mr. Knight, man nearest microphone - McGregor Smith,  (beyond mike back showing) - Mr. Mahoney,  (at far end of table) Bassett"		Photographs		1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.8 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 13; Folder No. 3; Folder Title: President: (n.d.) Pearson, J. W. 7. Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252860001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/38	38	423.jp2	/umpeople/image/423.jp2
Joel Balseiro, Professor of Foreign Languages, Spanish				On verso: "Faculty; Spanish; Dr. Joel Balseiro Spanish"		Portrait photographs			Coral Gables (Florida)	1 b&w photograph; 17.8 x 12.8 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 6; Folder No. 24; Folder Title: Faculty: Individual Photos (B).			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252690001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/39	39	156.jp2	/umpeople/image/156.jp2
C. Henderson Beal, Professor of Radio and Television				On verso: "C. Henderson Beal; Radio TV - Dept; Hurricane March 13, 53"		Photographs	1953-03	1950-1960	Coral Gables (Florida)	1 b&w photograph; 17.8 x 12.8 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 6; Folder No. 24; Folder Title: Faculty: Individual Photos (B).			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252500001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/40	40	487.jp2	/umpeople/image/487.jp2
Clarence P. Idyll, Research Associate, Marine Laboratory				On verso: "Clarence P. Idyll, research associate, Marine Laboratory"		Photographs	1962-09-27	1960-1970	Coral Gables (Florida)	1 b&w photograph; 6.2 x 6.8 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 3; Folder Title: Faculty: Individual Photos (H). Folder Date: n.d.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420254200001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/41	41	114.jp2	/umpeople/image/114.jp2
J. Ralph Murray, Assistant to the President of the University of Miami				On verso: "J. Ralph Murray - 1941"		Portrait photographs	1941-11	1940-1950	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.8 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 16; Folder No. 5; Folder Title: Vice Presidents: Murray, Ralph J..			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420253170001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/42	42	34.jp2	/umpeople/image/34.jp2
Group portrait of eight faculty members	Moldan, Dave			On verso: "Louis Manley, Charlton Tebeau, Reinhold Wolff, James Carney, John T. Holdsworth, Ernest McCracken, Mrs. Luellen Hauser, 'Pop' Keech; 1942"		Photographs	1942	1940-1950	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 6; Folder No. 6; Folder Title: Faculty: Group Photos. Folder Date: 1940s			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420251440001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/43	43	218.jp2	/umpeople/image/218.jp2
Donald Butts, Associate Professor of Tropical Research, with chimpanzee				On verso: "Dr. Donald Butts, head tropical disease research, chimpanzee; Associate Prof Tropical Research; South Campus"		Photographs			Coral Gables (Florida)	1 b&w photograph; 17.3 x 10.8 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 6; Folder No. 24; Folder Title: Faculty: Individual Photos (B).			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420252670001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/44	44	46.jp2	/umpeople/image/46.jp2
Elsie Fardig, Professor of Music Literature						Portrait photographs		1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.7 cm.	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 7; Folder No. 1; Folder Title: Faculty: Individual Photos (F).			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420251010001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/45	45	112.jp2	/umpeople/image/112.jp2
Marionette puppets of two girls and a dog						Photographs	1951	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.8 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series VII: Administrators, Deans, Faculty, and Presidents	Box No. 4; Folder No. 15; Folder Title: Faculty: Hastings, Sue- Drama.			http://merrick.library.miami.edu/digitalprojects/copyright.html		asu06420251520001001	Image	image/tiff													2009-07-01	2012-08-30	http://merrick.library.miami.edu:80/cdm/ref/collection/umpeople/id/46	46	245.jp2	/umpeople/image/245.jp2
