Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage Temporal	Location	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Editor	Object ID	Hardware	Software	Directory	Digital ID	Type	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
International Student Day						Photographs	1966-05	1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.3 x 18.5 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 13; Folder No. 9; Folder Title: International Student Day Photos/Negatives, 1967.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420116730001001	Image	image/tiff	13633.141 KB	4993	6114	0xE9B231D7	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1596	1596	1455.jp2	/umevents/image/1455.jp2
President Stanford at Homecoming Old Timers Reunion			President Stanford seen standing to the right			Negatives	1969-11	1960-1970	Coral Gables (Florida)	1 negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 11; Folder No. 8; Folder Title: Homecoming, 1969.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420115620001001	Image	image/tiff	5856.565 KB	3419	2321	0x20257677	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1597	1597	1941.jp2	/umevents/image/1941.jp2
Professor David Stern and visiting Professors	Greenfield, David			Written on verso: "left: Prof Storyan Bayitch, UM. Prof Jose Kuri Brena, Prof David Stern, UM," "Not in pic: Prof. Carlos Sanchez Mejorada"		Photographs		1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 16; Folder No. 10; Folder Title: Visitor, 1950s: 2.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420118660001001	Image	image/tiff	7647.981 KB	6138	5021	0x2FB1371A	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1598	1598	1648.jp2	/umevents/image/1648.jp2
Mid-Century Campaign Executive Committee				Printed on sticker attached to verso: "Mid-Century Campaign; Executive Committee; University of Miami"		Photographs	1980-1981	1980-1990	Miami (Florida)	1 b&w photograph; 17.8 x 12.7 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 14; Folder No. 2; Folder Title: Mid Century Campaign, 1980-1981.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420117000001001	Image	image/tiff	8639.552 KB	4299	3124	0xAB9E8C6D	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1599	1599	1482.jp2	/umevents/image/1482.jp2
Ruth Sheldon Knowles, author						Photographs		1960-1970	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.6 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 16;  Folder No. 14;  Folder Title: Visitors, 1960s: 1.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg					asu06420119670001001	Image	image/tiff	10501.273 KB	4525	6197	0xD4C0400	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1600	1600	1847.jp2	/umevents/image/1847.jp2
Ruth Sheldon Knowles, author				Typed on front: "Ruth Sheldon Knowles, author of "The Greatest Gamblers" which will be published by McGraw-Hill on May 14."; written on verso:  "Knowles, Ruth Sheldon"		Photographs	1959	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 16; Folder No. 14; Folder Title: Visitors, 1960s: 1.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg					asu06420119600001001	Image	image/tiff	4287.313 KB	3097	4481	0x5B634591	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1601	1601	1840.jp2	/umevents/image/1840.jp2
William Jennings Bryan visits the University of Miami				On verso: "Source: Memoirs of William Jennings Bryan, by himself and his wife, Mary Baird Bryan, Phila., John C. Winston Co., c.1925, illus. facing page 477.", "Twice ran for US President prosecuter in the scopes monkey trial late 1920's"		Photographs	1925	1920-1930	Coral Gables (Florida)	1 b&w photograph; 12.9 x 18.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 16; Folder No. 5; Folder Title: Visitor, 1920s.	http://merrick.library.miami.edu/digitalprojects/copyright.html		cme		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420118370001001	Image	image/tiff	6402.412 KB	4939	6116	0xF65F6753	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1602	1602	1619.jp2	/umevents/image/1619.jp2
Dr. Francisco D'Alamo Lousada and family visiting campus				Typed on verso: "Purpose: To initiate plans for exchange of University of Miami and Brazillian professors during Christmas holidays this year. Four or Five UM professors from School of Business Administration to visit Rio De Janeiro, São Paulo and other cities in southern Brazil to observe economic and industrial development. Brazillian professors to observe same development in South Florida. Plans in discussion stage at this point. Dr. Lousada to confer with his own alma matter, Mackenzie University (see Reader's Digest, current issue), a state university and the Brazillian State Dept. Dr. Lousado was accompanied by his wife and their son, Carlos Lousada, who is a student at the UM. (Carlos received his degree from the University of Lucerne, Switzerland -- is taking certificate program in management at the UM. Dr. lousada discussed the program with Dr. J. Maynard Keech, professor of management who is acting dean of the School of Business Administration while Dean Grover A.J. Noetzel is on vacation; James J. Steiner, assciate professor of management and officials of the University."		Photographs	1955-08-01	1950-1960	Coral Gables ( Florida)	1 b&w photograph; 20.7 x 25.4 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 16; Folder No. 10; Folder Title: Visitor, 1950s: 2.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420118890001001	Image	image/tiff	10261.723 KB	6183	5067	0xECD883A8	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1603	1603	1670.jp2	/umevents/image/1670.jp2
Dr. Ashe at a Pan American Presentation	PAA Photo		President Ashe seen standing at center	Written on verso: "Subjects: Pan Amer Airways' Vice Pres Morrison, LAD Manager Toomey with Dr. Ashe; Presentation of 'Two Spanish volumes of U.S. History and the Argentine Aviation History to the University of Miami;' Jan 1949; See letter of same date in PAA Archives files from S. Roger Wolin to Ashe"		Photographs	1949-01	1940-1950	Coral Gables (Florida)	1 b&w photograph; 25.3 x 20.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 14; Folder No. 4; Folder Title: Presentation, 1949-1950.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg					asu06420117190001001	Image	image/tiff	18987.978 KB	6168	4946	0x198DB7E0	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1604	1604	1501.jp2	/umevents/image/1501.jp2
Homecoming Queen with trophies						Negatives	1964	1960-1970	Coral Gables ( Florida)	1 negative		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 11; Folder No. 3; Folder Title: Homecoming, 1964.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420115040001001	Image	image/tiff	12454.287 KB	5232	5159	0xAB96FFBB	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1605	1605	1883.jp2	/umevents/image/1883.jp2
Don Juan de Borbon y Battenberg, Count of Barcelona, visiting Richter Library			Typed on verso: "S.A.R.D. JUAN DE BORBON T BATTEMBERG Conde de Barcelona Padre del  Rey Juan Carlos de España  Inaugura una Exposicion Historica Universidad de Miami 12 de Abril de 1985"			Photographs	1985-04-12	1980-1990	Coral Gables ( Florida)	1 b&w photograph; 13.3 x 9.5 cm	esp	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 17; Folder No. 14; Folder Title: Visitor: Don juan de Borbon y Battemberg visits Richter Library, 1985.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420120610001001	Image	image/tiff	2912.393 KB	3232	2340	0xBF6CE3C8	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1606	1606	1742.jp2	/umevents/image/1742.jp2
Homecoming event, 1979						Photographs	1979	1970-1980	Coral Gables ( Florida)	1 b&w photograph; 18 x 12.9 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 13; Folder No. 2; Folder Title: Homecoming, 1979.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420115880001001	Image	image/tiff	4157.817 KB	4335	3065	0x6A2086C6	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1607	1607	1967.jp2	/umevents/image/1967.jp2
Mid-Century Campaign meeting						Photographs	1980-1981	1980-1990	Miami (Florida)	1 b&w photograph; 17.8 x 12.7 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series IV: Events	Box No. 14; Folder No. 2; Folder Title: Mid Century Campaign, 1980-1981.	http://merrick.library.miami.edu/digitalprojects/copyright.html		ccg		EPSON Expression 10000 XL - Photo	EPSON Scan Version 2.02 A		asu06420116970001001	Image	image/tiff	3555.61 KB	4284	3081	0xC0D691B	RGB	24-bit depth	600 dpi			2009-01-27	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/umevents/id/1608	1608	1479.jp2	/umevents/image/1479.jp2
