Title	Creator	Note	Subject	Genre	Publisher	Date	Physical Description	Repository	Collection Title	Collection No.	Series	Container	Rights	Object No.	Directory	Digital ID	Type	Format	Width	Height	Checksum	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Letter: Ireland, to Mita [Genoveva Guardiola de Estrada Palma], [Havana]	Estrada Palma, Tomás Douglas, 1911-1999	Autograph letter signed.		Letter (Correspondence)		29 May [1919 or 1920]	1 item (2 p.)	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series III. Estrada Palma Family Papers, 1905-1999 (bulk dates, 1908-1944).	Box No.: 1 Folder No.: 18 Folder Title: Tomás Douglas Estrada Palma III: Correspondence. Folder Date: ca. 1919-1944	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001020001001	Text	image/tiff	4320	5562	0x914D2EC6	04600001020001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/188	188	159.jp2	/chc0460/image/159.jp2
Importe Proporcional Correspondeinte Sobre La Compra de dos Casas y $5,000.00 Sobre la Opción por Adelantado						[1908?]	1 item (p.).	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. (bulk dates, 1902-1908).	Box No.: 1 Folder No.: 11 Folder Title: Will. Folder Date: ca. 1908	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001180001001	Text	image/tiff	5544	6846	0x821D5D10	04600001180001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/189	189	165.jp2	/chc0460/image/165.jp2
Postcard: Central Valley, New York, from [Candelaria Estrada Palma?] to [Tomás Andrés Estrada Palma II], [Manzanillo, Cuba?]		Notation as appeared in scrapbook: "School for L.A. Boys founded by TEP"	Estrada Palma, Tomás, 1835-1908	Postcard	Franz, Huld Publisher, New York	20 Apr. 1907	1 col. postcard	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series II. Tomás Andrés Estrada Palma II Papers, 1902-1960. (bulk dates, 1906-1910).	Box No.: 1 Folder No.: 12 Folder Title: Correspondence. Folder Date: 1904-1960	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600005280001001	Text	image/tiff	3474	2190	0x108D8F3A	04600005280001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/190	190	218.jp2	/chc0460/image/218.jp2
Rafael Estrada Palma Catching a Baseball, New York			Estrada Palma, Rafael	Photograph		[191-]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 21 Folder Title: Estrada Palma Family. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001730001001	Image	image/tiff	2280	2308	0x3CC80FCF	04600001730001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/191	191	199.jp2	/chc0460/image/199.jp2
Tomás Estrada Palma's school in Central Valley, New York							1  clipping	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. 1970 (bulk dates 1902-1908).	Box No.: 1 Folder No.: 2 Folder Title: Clippings. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600006000001001	Text	image/tiff	2886	1872	0x2711048E	04600006000001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/192	192	219.jp2	/chc0460/image/219.jp2
Telegram: Santiago de las Vegas [Cuba], from Major General Enrique Lo[y]náz del Castillo to Tomás Estrada Palma, Havana	Loynaz del Castillo, Enrique, 1871-1963	Telegram demanding TEP's resignation.		Telegram		17 Sep. [1906]	1 item (p.)	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. 1970 (bulk dates 1902-1908).	Box No.: 1 Folder No.: 1 Folder Title: Correspondence. Folder Date: n.d.  1902-1907	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600005010001001	Text	image/tiff	4355	3168	0xEB894B5F	04600005010001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/193	193	213.jp2	/chc0460/image/213.jp2
Wedding Announcement: Helena Christine Estrada Palma and William Leuchtmann, Miami, Florida			Estrada Palma, Helena Christine; Leutchmann U.S.N.R., William	Wedding Announcement		1944	1 item (p.)	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series II. Tomás Andrés Estrada Palma II Papers, 1902-1960. (bulk dates, 1906-1910).	Box No.: 1 Folder No.: 13 Folder Title: Documents. Folder Date: 1902-1944	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001320001001	Text	image/tiff	2856	3660	0x5D985F47	04600001320001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/194	194	173.jp2	/chc0460/image/173.jp2
Patriótica Prédica de don Tomás / by Mario Guiral Moreno	Guiral Moreno, Mario						1 clipping	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. 1970 (bulk dates 1902-1908).	Box No.: 1 Folder No.: 2 Folder Title: Clippings. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600006040001001	Text	image/tiff	3102	4539	0xD59AB604	04600006040001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/195	195	223.jp2	/chc0460/image/223.jp2
Tomás Andrés Estrada Palma II with Tomás Douglas Estrada Palma III, Monroe Railroad Station, Central Valley, New York			Estrada Palma, Tomás, II; Estrada Palma, Tomás III	Photograph		[1911]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 21 Folder Title: Estrada Palma Family. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001790001001	Image	image/tiff	2004	2010	0x9E9A4DA2	04600001790001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/196	196	201.jp2	/chc0460/image/201.jp2
Carlos - Ralph? - Candita - Helen D.			Estrada Palma, Carlos D.; Estrada Palma, Rafael; Estrada Palma, Candelaria	Photograph		[ca. 1910]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 21 Folder Title: Estrada Palma Family. Folder Date:  n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001570001001	Image	image/tiff	2236	2156	0x84665E09	04600001570001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/197	197	189.jp2	/chc0460/image/189.jp2
Tomas Estrada Palma, President of the Republic of Cuba							1 clipping	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. 1970 (bulk dates 1902-1908).	Box No.: 1 Folder No.: 2 Folder Title: Clippings. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600006010001001	Text	image/tiff	3246	1560	0x9087399B	04600006010001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/198	198	220.jp2	/chc0460/image/220.jp2
[El trigesimo segundo aniversario del fallecimiento del primer presidente de Cuba, Don Tomás Estrada Palma . . .]						[1940]	1 clipping	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. (bulk dates, 1902-1908).	Box No.: 1 Folder No.: 7 Folder Title: Clippings. Folder Date: 1935-1960	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600007060001001	Text	image/tiff	6330	3906	0x23B14A06	04600007060001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/199	199	231.jp2	/chc0460/image/231.jp2
Zöe Moulton-Barrett's (?) Mother		On verso: "My mother on my wedding day."		Photograph		[194-]	1  photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 30 Folder Title: Browne Family. Folder Date: n.d. 1922	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001450001001	Image	image/tiff	1588	2180	0xF96D8DC5	04600001450001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/200	200	183.jp2	/chc0460/image/183.jp2
Helen (Douglas Browne) Estrada Palma		Seated on boulder with hat and umbrella.	Estrada Palma, Helen D.	Photograph		[ca. 1910]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 29 Folder Title: Helen (Douglas Browne) Estrada Palma. Folder Date: n.d. 1909	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001650001001	Image	image/tiff	2604	2298	0x645B5FFA	04600001650001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/201	201	195.jp2	/chc0460/image/195.jp2
Class photo at Tomás Estrada Palma's school in Central Valley, New York		"It is very likely that this is a 'class picture' of the school Estrada-Palma and Cornell ran in Central Valley, New York, ca. 1880s.  TEP is in center back row with cap." -- Julio Vera, 25 May 1999	Estrada Palma, Tomás, III, 1911-1999; Cornell RAU school	Photograph		[ca. 1880]	1 b&w sepia tone photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 22 Folder Title: Tomás Estrada Palma (Group). Folder Date: ca. 1880	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001280001001	Image	image/tiff	5334	3390	0x65ADCDEC	04600001280001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/202	202	170.jp2	/chc0460/image/170.jp2
La fortuna de Estrada Palma						[1908]	1 clipping	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. (bulk dates, 1902-1908).	Box No.: 1 Folder No.: 6 Folder Title: Clippings. Folder Date: 1908	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600007000001001	Text	image/tiff	3084	4284	0x1D104997	04600007000001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/203	203	226.jp2	/chc0460/image/226.jp2
Solemne Homenaje a la Memoria del Insigne Patriota Don Tomás Estrada Palma, Efectuado Ayer						[1935]	1 clipping	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. (bulk dates, 1902-1908).	Box No.: 1 Folder No.: 7 Folder Title: Clippings. Folder Date: 1935-1960	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600007040001001	Text	image/tiff	3498	6000	0x98B2D818	04600007040001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/204	204	229.jp2	/chc0460/image/229.jp2
Group Portrait, Cornell University, New York		Back row, first from left is TEP II	Estrada Palma, Tomás, 1835-1908	Photograph		[ca.1906]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 25 Folder Title: Tomás Andrés Estrada Palma II (Group). Folder Date:  1906	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001290001001	Image	image/tiff	3906	2154	0xF365CE4D	04600001290001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/205	205	171.jp2	/chc0460/image/171.jp2
Carta de Naturalización, José Guimunde y Martínez, Havana		Signed by the Cuban Secretary of State and President Tomás Estrada Palma.	Estrada Palma, Tomás, 1835-1908; Guimunde y Martinez, José	Certificate of Naturalization		17 Feb. 1906	1 item (p.)	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. 1970 (bulk dates 1902-1908).	Box No.: 2 Folder No.: 38 Folder Title: Documents (Oversized). Folder Date: 1906	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001700001001	Text	image/tiff	5178	3996	0xA9706897	04600001700001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/206	206	198.jp2	/chc0460/image/198.jp2
Zöe and Kenneth Moulton-Barrett?		On verso: "Before leaving for our very happy holiday."		Photograph		[194-]	1 b&w photograph .	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 30 Folder Title: Browne Family. Folder Date: n.d. 1922	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001460001001	Image	image/tiff	1588	2158	0xC189A47A	04600001460001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/207	207	184.jp2	/chc0460/image/184.jp2
Maud Henwood's -- where Helen D. [Douglas Browne] spent summer with her mother			Henwood, Maud; Estrada Palma, Helen D.	Photograph		[191-?]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 32 Folder Title: Places. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001690001001	Image	image/tiff	2258	2104	0x2CC7CAC9	04600001690001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/208	208	197.jp2	/chc0460/image/197.jp2
Letter: New York, from Department of Health to Tomás Andrés Estrada Palma II, Newport News, Virginia	New York (New York). Dept. of Health	Photo of TEP III from 1920s attached.  Also attached is "Receipt for Search of Record of Birth"		Letter (Correspondence)		11 Aug. 1916	1 item (p.)	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series III. Estrada Palma Family Papers, 1905-1999 (bulk dates, 1908-1944).	Box No.: 1 Folder No.: 19 Folder Title: Tomás Douglas Estrada Palma III: Documents. Folder Date:  1911-1916	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001900001001	Text	image/tiff	2616	3345	0x1A786966	04600001900001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/209	209	210.jp2	/chc0460/image/210.jp2
Salon Azul (Blue Room), Presidential Palace, Havana			Palacio Presidencial (Havana, Cuba)	Photograph		[ca. 1902]	1  photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 36 Folder Title: Presidential Palace Cuba. Folder Date: n.d. ca. 1902	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600005160001001	Image	image/tiff	3018	2562	0x1C514898	04600005160001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/210	210	216.jp2	/chc0460/image/216.jp2
Birth Announcement			Estrada Palma, Tomás, II	Birth Announcement		May 1911	1 b&w item (p.)	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series III. Estrada Palma Family Papers, 1905-1999 (bulk dates, 1908-1944).	Box No.: 1 Folder No.: 19 Folder Title: Tomás Douglas Estrada Palma III: Documents. Folder Date:  1911-1916	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001760001001	Text	image/tiff	2146	1624	0xB9701DAD	04600001760001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/211	211	200.jp2	/chc0460/image/200.jp2
Letter: Santiago de Cuba, from C. de Velasco to Tomás Estrada Guardiola [Tomás Andrés Estrada Palma II], [Santiago de Cuba]	Velasco, C. de	Autograph letter signed.   Contains text of telegram sent by US President William H. Taft to Magoon asking him to convey his condolences to Estrada Palma family regarding death of Tomás Estrada Palma.		Letter (Correspondence)		[6 or 7] Nov. 1908	1 item (p.)	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series II. Tomás Andrés Estrada Palma II Papers, 1902-1960. (bulk dates, 1906-1910).	Box No.: 1 Folder No.: 12 Folder Title: Correspondence. Folder Date: 1904-1960	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001080001001	Text	image/tiff	5334	6660	0xDEB07472	04600001080001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/212	212	161.jp2	/chc0460/image/161.jp2
Tomás Estrada Palma			Estrada Palma, Tomás, 1835-1908	Photograph		1905	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 23 Folder Title: Tomás Estrada Palma (Portrait). Folder Date: 1905	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600002000001001	Image	image/tiff	2574	3648	0x1993ABA6	04600002000001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/213	213	211.jp2	/chc0460/image/211.jp2
En Sentido Discurso Recordó el Alcalde Belt, Junto a la Estatua de Estrada Palma toda su grandeza						[1935]	1 clipping	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. (bulk dates, 1902-1908).	Box No.: 1 Folder No.: 7 Folder Title: Clippings. Folder Date: 1935-1960	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600007050001001	Text	image/tiff	2772	8688	0x9458E3D8	04600007050001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/214	214	230.jp2	/chc0460/image/230.jp2
Group Photo of Cornell Students		Standing from left to right: A. Ferrer, E. Gaston, Larragure, unidentified, Freyre, Gomez, Lopez, McCabe, Maceo, Egosque, Taveira, Cuervo, Lopez, Moi (TEP II), Zena, Ponce.  Kneeling from left to right: Lopez and M. Ferrer.		Photograph		25 Mar. 1905	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 25 Folder Title: Tomás Andrés Estrada Palma II (Group). Folder Date:  1906	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001170001001	Image	image/tiff	2030	2068	0xF046562F	04600001170001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/215	215	164.jp2	/chc0460/image/164.jp2
Convoy accompanying Tomás Estrada Palma from Bayamo to Havana			Estrada Palma, Tomás, 1835-1908	Photograph		[1902]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 24 Folder Title: Presidential Convoy. Folder Date: 1902	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001370001001	Image	image/tiff	3984	2952	0x168BA9C2	04600001370001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/216	216	178.jp2	/chc0460/image/178.jp2
Homenaje a Don Tomás						[1935]	1 clipping	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. (bulk dates, 1902-1908).	Box No.: 1 Folder No.: 7 Folder Title: Clippings. Folder Date: 1935-1960	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600007030001001	Text	image/tiff	1446	3060	0x969ED3EC	04600007030001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/217	217	228.jp2	/chc0460/image/228.jp2
Christopher (1 year)		Possibly Zöe Moulton Barrett's grandson.	Christopher (1 year)	Photograph		[ca. 1964]	1 col. photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 30 Folder Title: Browne Family. Folder Date: n.d. 1922	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001410001001	Image	image/tiff	2182	2180	0xB4D843FE	04600001410001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/218	218	180.jp2	/chc0460/image/180.jp2
T. E. Palma to Wed" and "Palma and Miss Browne Wed		Two clippings from the Boston Herald and the Baltimore Sun.				29 July and 7 Aug. 1910	1  2 clippings	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series II. Tomás Andrés Estrada Palma II Papers, 1902-1960. (bulk dates, 1906-1910).	Box No.: 1 Folder No.: 16 Folder Title: Clippings. Folder Date: 1910	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600007150001001	Text	image/tiff	2502	4818	0xCE7E0A00	04600007150001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/219	219	233.jp2	/chc0460/image/233.jp2
Where I [TEP II] played baseball - C.V. Team - 2 yrs				Photograph		[ca. 1911]	1 sepia photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 33 Folder Title: Central Valley New York. Folder Date: n.d.  1904-1905	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001600001001	Image	image/tiff	3252	2022	0xADB09538	04600001600001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/220	220	191.jp2	/chc0460/image/191.jp2
José and Tomás Andrés Estrada Palma II			Estrada Palma, Manuel Jose; Estrada Palma II (1884), Tomás	Photograph		[not before 1889]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 21 Folder Title: Estrada Palma Family. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001870001001	Image	image/tiff	1554	2526	0x88EB66AC	04600001870001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/221	221	207.jp2	/chc0460/image/207.jp2
Presidential Palace, Havana		Day of Tomás Estrada Palma's arrival in Havana to become president of Cuba.  Was inaugurated on 20 May 1902.	Palacio Presidencial (Havana, Cuba)	Photograph		11 May 1902	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 36 Folder Title: Presidential Palace Cuba. Folder Date: n.d. ca. 1902	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600005110001001	Image	image/tiff	3438	2334	0xECBA4C17	04600005110001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/222	222	215.jp2	/chc0460/image/215.jp2
Central Valley, New York, Baseball Team			Central Valley's Riders (Baseball team)	Photograph		1906	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 31 Folder Title: Unidentified Persons Central Valley New York. Folder Date: n.d. 1906	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001160001001	Image	image/tiff	3270	2046	0xCC1566D6	04600001160001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/223	223	163.jp2	/chc0460/image/163.jp2
Impresiones de Matanzas						[1906]	1 clipping	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. (bulk dates, 1902-1908).	Box No.: 1 Folder No.: 4 Folder Title: Clippings. Folder Date: 1906	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600006190001001	Text	image/tiff	2916	6636	0xDDE3B6AE	04600006190001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/224	224	225.jp2	/chc0460/image/225.jp2
Vevita - Ralph				Photograph		[ca. 1910]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 21 Folder Title: Estrada Palma Family. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001830001001	Image	image/tiff	2264	2258	0xCB748FD0	04600001830001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/225	225	205.jp2	/chc0460/image/205.jp2
[Genealogy]: Duque de Estrada		Photocopy	Estrada family; Estrada Palma family	Genealogy		[197-?]	1 b&w item (p.)	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. (bulk dates, 1902-1908).	Box No.: 1 Folder No.: 10 Folder Title: Genealogy. Folder Date: ca. 1970	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001610001001	Text	image/tiff	5292	6906	0xF77C07F3	04600001610001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/226	226	192.jp2	/chc0460/image/192.jp2
Cuban Patriot's Son Weds; Foils Friends		In the San Francisco Chronicle.  Includes wedding day photograph of TEP II and wife.		Clipping		7 Aug. 1910	1 clipping	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series II. Tomás Andrés Estrada Palma II Papers, 1902-1960. (bulk dates, 1906-1910).	Box No.: 1 Folder No.: 16 Folder Title: Clippings. Folder Date: 1910	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600007160001001	Text	image/tiff	3987	5500	0x4066E350	04600007160001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/227	227	234.jp2	/chc0460/image/234.jp2
Collage of Clippings							1  3 clippings	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series II. Tomás Andrés Estrada Palma II Papers, 1902-1960. (bulk dates, 1906-1910).	Box No.: 1 Folder No.: 39 Folder Title: Clippings (Oversized). Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600008050001001	Text	image/tiff	4258	4960	0xB26139D1	04600008050001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/228	228	235.jp2	/chc0460/image/235.jp2
