Title	Creator	Note	Subject	Genre	Publisher	Date	Physical Description	Repository	Collection Title	Collection No.	Series	Container	Rights	Object No.	Directory	Digital ID	Type	Format	Width	Height	Checksum	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
H.D. [Helen Douglas Browne] - 'cottage'			Estrada Palma, Helen D.	Photograph	s.n.	[191-?]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 32 Folder Title: Places. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001630001001	Image	image/tiff	2262	2208	0x1C1F6F2D	04600001630001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/168	168	193.jp2	/chc0460/image/193.jp2
Morro Castle, Havana		Notation on back: "The re[k]nown 500 year old fortification The Mor[r]o Castle, built by the Spanish.  My father mentioned once that President Estrada-Palma thought it best to move his family to the castle for fear that assassines (sic.) were trying to kill him and might harm his family."	Castillo del Morro (Havana, Cuba); Cuban Castle	Photograph		[19- -]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 34 Folder Title: Cuba. Folder Date:  n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001350001001	Image	image/tiff	900	632	0x6ED156F	04600001350001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/169	169	176.jp2	/chc0460/image/176.jp2
Cabaña, Havana		Depicts tennis court at Cabaña.	Cabaña (Havana, Cuba)	Photograph		[19- -]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 34 Folder Title: Cuba. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001340001001	Image	image/tiff	3918	2634	0x814E58F2	04600001340001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/170	170	175.jp2	/chc0460/image/175.jp2
Front yard - in this old house I (TEP [II]) was born, Central Valley, New York			Birth place of Estrada Palma, Tomás	Photograph		[19- -]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 33 Folder Title: Central Valley New York. Folder Date: n.d. 1904-1905	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001360001001	Image	image/tiff	2856	1860	0xB24CB177	04600001360001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/171	171	177.jp2	/chc0460/image/177.jp2
Helen (Douglas Browne) Estrada Palma with Tomás Douglas Estrada Palma III, Monroe Railroad Station, Central Valley, New York			Estrada Palma, Helen D.	Photograph		[1911]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 21 Folder Title: Estrada Palma Family. Folder Date:  n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001800001001	Image	image/tiff	2030	2074	0x26734FF3	04600001800001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/172	172	202.jp2	/chc0460/image/202.jp2
Tomás Estrada Palma leaving Central Valley, New York		Notation with clipping: "Gathering at the Station in Central Valley to bid farewell and godspeed to your great grandfather Tomas Estrada-Palma, on his way to assume the duties of First Presiden[t] of the Republic of Cuba."					1 clipping	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. 1970 (bulk dates 1902-1908).	Box No.: 2 Folder No.: 37 Folder Title: Clippings (Oversized). Folder Date: n.d.  1906-1908 1968	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600008070001001	Text	image/tiff	4253	4972	0x3B2A512	04600008070001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/173	173	236.jp2	/chc0460/image/236.jp2
Helen (Douglas Browne) Estrada Palma, Central Valley, New York		On verso: "H.D.B. July 1909. 'Limericks' C.V.  Wife of TEP II Helen Douglas Browne."		Photograph		July 1909	1  photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 29 Folder Title: Helen (Douglas Browne) Estrada Palma. Folder Date: n.d. 1909	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001330001001	Image	image/tiff	2526	1782	0xDA842C17	04600001330001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/174	174	174.jp2	/chc0460/image/174.jp2
New Honduras and Peru Issues: Former is Regular and Air Mail, Latter Marks Tercentenary of Founding of ICA; Other Foreign Stamps							1 clipping	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. 1970 (bulk dates 1902-1908).	Box No.: 1 Folder No.: 2 Folder Title: Clippings. Folder Date:  n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600006020001001	Text	image/tiff	3996	2718	0x4D270473	04600006020001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/175	175	221.jp2	/chc0460/image/221.jp2
S.n.							1 clipping	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series I. Tomás Estrada Palma Papers, 1906-ca. 1970 (bulk dates 1902-1908).	Box No.: 1 Folder No.: 2 Folder Title: Clippings. Folder Date: n.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600006030001001	Text	image/tiff	3420	3162	0xAA797DEE	04600006030001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/176	176	222.jp2	/chc0460/image/222.jp2
Genoveva Guardiola de Estrada Palma			Estrada Palma, Genoveva Guardiola de	Photograph		[191-?]	1 b&w photograph	University of Miami Libraries. Cuban Heritage Collection	Tomás Estrada Palma Collection.	CHC0460	Series IV. Photographs, ca. 1880-1956.	Box No.: 1 Folder No.: 27 Folder Title: Genoveva Guardiola de Estrada Palma. Folder Date:	http://merrick.library.miami.edu/digitalprojects/copyright.html			chc04600001860001001	Image	image/tiff	2256	2244	0x8FE46A02	04600001860001001.tif		2006-12-09	2012-05-30	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0460/id/177	177	206.jp2	/chc0460/image/206.jp2
