Title	Photographer	Summary	Note	Subject	Genre	Publisher	Date	Coverage	State	County	City	Place	Physical Description	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Directory	Object ID	Digital ID	Type	Format	Width	Height	Checksum	BitDepth	Resolution	Colorspace	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Downtown Miami		A bicyclist passes automobiles and a few tall buildings in downtown Miami in 1925. Beyond the traffic light is an elevated banner referring to the Stadium.		Trolley cars; Central business districts; Streets;	Photographs		1925	1920-1930	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Downtown.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001150001001	Image	image/tiff	619	768	0xAF597100	24 bit color	600dpi	RGB	asm03000001150001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/32	32	84.jpg	/asm0300/image/84.jpg
Hotel Paramount		Façade of the Hotel Paramount with its theater and Paramount Soda Shop. Customers are visible in the White Castle and hot dog stands. The movie marquee promotes Victor Mature, Karen Steele and James Olson in "The Sharkfighters," while in the lower right corner a movie poster advertises "The Mole People." At left is the edge of the Arthur Murray dance studio.		Hotel Paramount (Miami, Florida); Hotels; Theaters;	Photographs		1956	1950-1960	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 4; Folder Title: Miami: Sign Company Photographs.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000690001001	Image	image/tiff	981	768	0xD06C8513	24 bit color	600dpi	RGB	asm03000000690001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/33	33	65.jpg	/asm0300/image/65.jpg
Streetcar, Coral Gables		Coral Gables trolley no. 9 is passing the Cash & Carry Feed Store. On its front are advertisements, one for the Venetian Pool and the other for horse-riding. The trees at right are Florida pines.		Trolley cars;	Photographs				Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Streetcars-Street scenes.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000280001001	Image	image/tiff	943	768	0xF1BDD6EF	24 bit color	600dpi	RGB	asm03000000280001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/34	34	27.jpg	/asm0300/image/27.jpg
Ponce de Leon Hotel		A white, old-fashioned automobile is parked in front of the Ponce De Leon Hotel at 1721 Ponce De Leon Boulevard.		Ponce de Leon Hotel (Coral Gables, Florida); Hotels;	Photographs				Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Hotels-Schools.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000250001001	Image	image/tiff	934	768	0x700A9EDC	24 bit color	600dpi	RGB	asm03000000250001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/35	35	24.jpg	/asm0300/image/24.jpg
Downtown Miami: aerial view		This aerial view of Miami looks over the rooftops of the Eli McDonald Co. furniture warehouse, the Miami Herald building, the Miami News building (later the Freedom Tower), the H. & C. Greenfield building, the Hefty Press, and others. Biscayne Bay lies beyond.		Miami (Florida); Skylines; Central business districts; Parking lots; Nineteen thirties;	Photographs; Aerial views		ca. 1930	1930-1940	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Downtown.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001190001001	Image	image/tiff	943	768	0x76E9D6B	24 bit color	600dpi	RGB	asm03000001190001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/36	36	88.jpg	/asm0300/image/88.jpg
Coral Gables street car		First run of the Coral Gables Street Car on April 30, 1925. Mayor E. E. Dammers of Coral Gables with trolley wire, Mayor E. E. Romfh of Miami at the controls.		Trolley cars; Mayors; Romfh, Edward C.; Dammers, Edward C.	Photographs		1925	1920-1930	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Streetcars-Street scenes.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000270001001	Image	image/tiff	950	768	0x4170460E	24 bit color	600dpi	RGB	asm03000000270001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/37	37	26.jpg	/asm0300/image/26.jpg
South Bayshore Drive		Children walk along the edge of South Bayshore Drive, while trolley cars are visible in the distance. The trolley on the left is passing a sign advertising "National Player Piano Week."	"Rickmer at South Bayshore Drive"--Handwritten inscription on verso.	South Bayshore Drive (Miami, Florida); Trolley cars; Streets;	Photographs		1921	1920-1930	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Street Scenes.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001330001001	Image	image/tiff	940	768	0x44DAFBE8	24 bit color	600dpi	RGB	asm03000001330001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/38	38	102.jpg	/asm0300/image/102.jpg
Ibises in the Everglades	City of Miami News Bureau	Ibises form a rookery in the tangled branches of mangrove trees deep within Everglades National Park.		Ibises; Wetlands;	Photographs				Florida	Miami-Dade County (Florida)	Everglades (Florida)	Everglades, The	1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 5; Folder Title: Everglades: Ibis.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000970001001	Image	image/tiff	947	768	0xB8539AEB	24 bit color	600dpi	RGB	asm03000000970001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/39	39	67.jpg	/asm0300/image/67.jpg
Destruction of Canvas Goods store		A goods store was damaged in the 1926 hurricane.		Hurricanes; Buildings -- Natural disaster effects;	Photographs		1926	1920-1930	Florida	Miami-Dade County (Florida)			1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami: Hurricanes.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000450001001	Image	image/tiff	1022	741	0x4E2DCB8B	24 bit color	600dpi	RGB	asm03000000450001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/40	40	44.jpg	/asm0300/image/44.jpg
U.M. co-eds waterskiing	City of Miami News Bureau	University of Miami co-eds try an intricate waterskiing maneuver as they scud across the blue waters of Biscayne Bay. The city's skyline is in the background.		Water skiing; Skylines;	Photographs				Florida	Miami-Dade County (Florida)	Miami (Florida)	Biscayne Bay	1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 5; Folder Title: Miami: University of Miami Coeds Water Skiing.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001050001001	Image	image/tiff	944	768	0xDC1BAE11	24 bit color	600dpi	RGB	asm03000001050001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/41	41	75.jpg	/asm0300/image/75.jpg
Corkscrew Cypress Swamp	Holmes, Jack	Spanish moss-draped cypress and other trees tower above fallen leaves. A man appears to be examining a plant in the middle distance.	"Corkscrew Cypress Swamp (near Immokalee) - now a bird sanctuary supervised by Nat'l Park Service. Statement by C.W. Tebeau. 6/30/75. GW."--Inscription on verso.	Swamps; Trees	Photographs				Florida	Miami-Dade County (Florida)		Cypress Swamp	1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Corkscrew Cypress Swamp.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000310001001	Image	image/tiff	946	768	0xD6698717	24 bit color	600dpi	RGB	asm03000000310001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/42	42	30.jpg	/asm0300/image/30.jpg
Polo fields south of Lincoln Road, February 1920		Spectators watch a polo game underway.		Polo; Horses; Automobiles;	Photographs		1920	1920-1930	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001570001001	Image	image/tiff	935	768	0x8820E2D4	24 bit color	600dpi	RGB	asm03000001570001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/43	43	125.jpg	/asm0300/image/125.jpg
Early Miami traffic		Automobiles drive past a "Miami welcomes you" sign at 36th Street and NE 2nd Avenue.		Automobiles;	Photographs		1927	1920-1930	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Street Scenes.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001310001001	Image	image/tiff	949	768	0x46490386	24 bit color	600dpi	RGB	asm03000001310001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/44	44	100.jpg	/asm0300/image/100.jpg
Bathing pavilion, Miami Beach		Beach-goers stroll past a bathing pavilion at 23rd Street and the ocean.		Beaches;	Photographs		1915	1910-1920	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami Beach: Bathing Pavilion.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000570001001	Image	image/tiff	945	768	0x1A271310	24 bit color	600dpi	RGB	asm03000000570001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/45	45	56.jpg	/asm0300/image/56.jpg
Miami Beach aerial view		The oceanfront, looking south from the Pancoast Hotel, August 15, 1923.		Beaches; Collins Avenue (Miami Beach, Florida); Pancoast Hotel (Miami Beach, Florida); Shorelines;	Aerial views; Photographs		1923	1920-1930	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami Beach: Aerial Views: South.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000640001001	Image	image/tiff	939	768	0x888D68DB	24 bit color	600dpi	RGB	asm03000000640001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/46	46	62.jpg	/asm0300/image/62.jpg
Hurricane relief, October 1926		Miamians organize relief for victims of the 1926 hurricane.		Disaster relief; Miami (Florida); Hurricanes	Photographs		1926-10	1920-1930	Florida	Miami-Dade County (Florida)			1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Hurricanes.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001230001001	Image	image/tiff	943	768	0x42CB483D	24 bit color	600dpi	RGB	asm03000001230001001.tif		2006-11-14	2012-10-29	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/47	47	92.jpg	/asm0300/image/92.jpg
Carl Fisher playing golf		Miami News publisher Daniel J. Mahoney, and Miami Beach developer Carl Fisher play golf, probably at the La Gorce Country Club. The third man may be Robert Brophy of Eastern Airlines.		Fisher, Carl G. (Carl Graham), 1874-1939; Mahoney, Daniel J.; Golf;	Photographs		1927	1920-1930	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach: Carl Fisher.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001470001001	Image	image/tiff	932	768	0xB37179C3	24 bit color	600dpi	RGB	asm03000001470001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/48	48	116.jpg	/asm0300/image/116.jpg
Miami yacht basin	News Bureau of the Florida State Advertising Commission	Yachts are moored at this yacht basin in Miami.		Yachts; Marinas;	Photographs				Florida	Miami-Dade County (Florida)	Miami (Florida)	Biscayne Bay	1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 5; Folder Title: Miami: Yacht Basin.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001060001001	Image	image/tiff	937	768	0xE8C50947	24 bit color	600dpi	RGB	asm03000001060001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/49	49	76.jpg	/asm0300/image/76.jpg
Lummus Park		Automobiles line the curb along Miami Beach's Lummus Park at 10th Street and Ocean Drive.		Lummus Park (Florida); Ocean Drive (Miami Beach, Florida); Streets; Parks;	Photographs		1929	1920-1930	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach: Lummus Park.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001270001001	Image	image/tiff	927	768	0x457446E5	24 bit color	600dpi	RGB	asm03000001270001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/50	50	96.jpg	/asm0300/image/96.jpg
Biltmore Hotel		A view of the Biltmore Hotel showing the repeated architectural theme of arches.		Miami Biltmore Hotel and Country Club; Hotels; Historic buildings; Tourist attractions	Photographs				Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 color photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Hotels: Biltmore Hotel.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000120001001	Image	image/tiff	1022	734	0x84BE2DC0	24 bit color	600dpi	RGB	asm03000000120001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/51	51	11.jpg	/asm0300/image/11.jpg
WCKT Florida Forum		Commissioner Tom Sasso and civic leader William Singer discuss the pros and cons of the Government Research Council Amendment to the Metro Charter, on WCKT's Florida Forum. Singer argued for the positive and Sasso for the negative. The men were questioned by more than 70 civic and business leaders in the audience. Tom Miller acted as moderator and panelists were Dave Choate (WCKT news editor) and George Markert (professor of Social Sciences at Miami Dade Junior College). The amendments will be voted on November 5th.		Sasso, Thomas; Singer, William; Choate, Dave; Markert, George; WCKT (Television station : Miami, Florida);	Photographs				Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami: Elections.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000430001001	Image	image/tiff	942	768	0x5F23AF4A	24 bit color	600dpi	RGB	asm03000000430001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/52	52	42.jpg	/asm0300/image/42.jpg
Chamber of Commerce Docks	Beers Photo Co.	Fishermen and visitors pose in front of two large sailfish or marlins at the Miami Beach Chamber of Commerce Docks.		Miami Beach (Florida). Chamber of Commerce Docks; Tourist attractions; Fishing; Marinas;	Photographs		1937	1930-1940	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami Beach: Chamber of Commerce Docks.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000580001001	Image	image/tiff	950	768	0x2F1CFA1E	24 bit color	600dpi	RGB	asm03000000580001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/53	53	57.jpg	/asm0300/image/57.jpg
Coral Gables Inn		The Coral Gables Inn is surrounded by palm trees.		Coral Gables Inn (Coral Gables, Florida); Hotels;	Photographs				Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Hotels-Schools.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000240001001	Image	image/tiff	935	768	0x7A60BA66	24 bit color	600dpi	RGB	asm03000000240001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/54	54	23.jpg	/asm0300/image/23.jpg
Sawgrass and palms	News Bureau of the Florida State Advertising Commission			Palms; Wetlands;	Photographs				Florida	Miami-Dade County (Florida)		Everglades, The	1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 5; Folder Title: Everglades: Sawgrass.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000980001001	Image	image/tiff	588	768	0xC78B6D83	24 bit color	600dpi	RGB	asm03000000980001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/55	55	68.jpg	/asm0300/image/68.jpg
Coral Gables buses		A fleet of Coral Gables buses stand waiting in a parking lot.		Buses;	Photographs				Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Buses-Douglas Entrance.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000220001001	Image	image/tiff	965	768	0x774FAFDD	24 bit color	600dpi	RGB	asm03000000220001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/56	56	21.jpg	/asm0300/image/21.jpg
Downtown Miami: street running behind Burdine's Department store		City traffic in downtown Miami along what is probably Flagler Street.		City traffic; Automobiles; Trolley cars; Streets;	Photographs		1933	1930-1940	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w, tinted photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Downtown.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001160001001	Image	image/tiff	942	768	0xEE84370F	24 bit color	600dpi	RGB	asm03000001160001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/57	57	85.jpg	/asm0300/image/85.jpg
Collins Bridge	Miami Beach Tourist Development Authority Publicity Department	Cars cross the Collins Bridge on the day of its opening, June 12, 1913. The first car in line is an old Elmore.		Collins Bridge (Miami Beach, Florida); Bridges; Automobiles;	Photographs		1913	1910-1920	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001510001001	Image	image/tiff	944	768	0x1D862C0F	24 bit color	600dpi	RGB	asm03000001510001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/58	58	120.jpg	/asm0300/image/120.jpg
Roman Pools	Miami Beach News Bureau	Divers leap into the Roman pools at Miami Beach.		Swimming pools; Tourist attractions; Bathing suits;	Photographs		1918	1910-1920	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami Beach: Roman Pools.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000630001001	Image	image/tiff	1023	696	0x49583AE9	24 bit color	600dpi	RGB	asm03000000630001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/59	59	61.jpg	/asm0300/image/61.jpg
Ponce de Leon Boulevard		Cars and an electric trolley travel on Ponce de Leon Blvd. in Coral Gables, October 1926. The trolley car has stopped while passengers board it. A sign on the building in the center identifies it as the "Central Building" with postal and telegraph facilities.		Automobiles; Trolley cars; Ponce de Leon Boulevard (Coral Gables, Florida); Central business districts;	Photographs		1926	1920-1930	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Coral Gables: Ponce de Leon.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001090001001	Image	image/tiff	937	768	0x66136047	24 bit color	600dpi	RGB	asm03000001090001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/60	60	78.jpg	/asm0300/image/78.jpg
Trolley car		This trolley car takes a break at a "car barn" on SW 2nd Avenue and 3rd Street.		Trolley cars;	Photographs		1931	1930-1940	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Trolley.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001350001001	Image	image/tiff	1023	742	0x73ED85D3	24 bit color	600dpi	RGB	asm03000001350001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/61	61	104.jpg	/asm0300/image/104.jpg
Downtown Miami: aerial view, November 1927		Aerial view of urban growth along Biscayne Boulevard. "Note the substantial homes, representative of the better sections of residential Miami."		Biscayne Boulevard (Miami, Florida); Skylines; Shorelines; Causeways;	Photographs; Aerial views; Cityscapes		1927	1920-1930	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Street Scenes.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001280001001	Image	image/tiff	945	768	0xC1DC3E61	24 bit color	600dpi	RGB	asm03000001280001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/62	62	97.jpg	/asm0300/image/97.jpg
Streetcar tracks		"1923 -- Laying the street car tracks along Alton Road at about Thirty-fifth Street." The workers appear to be chiefly African Americans.		Railroads; Railroad construction workers; Alton Road (Miami Beach, Florida);	Photographs		1923	1920-1930	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami Beach: Streetcar Tracks.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000650001001	Image	image/tiff	956	768	0xB185C5FC	24 bit color	600dpi	RGB	asm03000000650001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/63	63	63.jpg	/asm0300/image/63.jpg
Population and the labor force		The graph shows labor statistics, distinguishing between white and African American workers.		Population; Statistics; Labor supply;	Photographs		1965	1960-1970	Florida	Miami-Dade County (Florida)			1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami: Statistics.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000510001001	Image	image/tiff	625	768	0x710F3089	24 bit color	600dpi	RGB	asm03000000510001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/64	64	50.jpg	/asm0300/image/50.jpg
Miami Beach, 1926 hurricane		The severe hurricane of 1926 uprooted many trees, even towering royal palms.		Hurricanes;	Photographs		1926	1920-1930	Florida	Miami-Dade County (Florida)	Miami Beach (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami Beach: Hurricanes.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000460001001	Image	image/tiff	1023	708	0x1548DB7D	24 bit color	600dpi	RGB	asm03000000460001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/65	65	45.jpg	/asm0300/image/45.jpg
Vote NO on the 5th		Photograph of a political ad at a Food Fair convenience store.		Advertising, Political; Dade League of Municipalities;	Photographs				Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami: Elections.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000440001001	Image	image/tiff	944	768	0x4F1E9D63	24 bit color	600dpi	RGB	asm03000000440001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/66	66	43.jpg	/asm0300/image/43.jpg
Biltmore Hotel swimming pool with top of central tower	Fletcher, Carolyn T.	A view of the Biltmore Hotel featuring part of the beautiful Olympic-sized swimming pool.		Miami Biltmore Hotel and Country Club; Hotels; Swimming pools; Tourist attractions; Color in architecture;	Photographs		1986	1980-1990	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 color photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Hotels: Biltmore Hotel.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000190001001	Image	image/tiff	524	768	0x1AE2C5F6	24 bit color	600dpi	RGB	asm03000000190001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/67	67	18.jpg	/asm0300/image/18.jpg
Slamming Golf Tournament	City of Miami News Bureau	Slammin' Sam Snead, a perennial competitor in the annual $10,000 Miami Open golf tournament, tees off at Miami Springs Country Club before a tense gallery of spectators.		Snead, Sam, 1912-; Golf; Miami Springs Country Club (Miami Springs, Florida);	Photographs				Florida	Miami-Dade County (Florida)	Miami Springs (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 5; Folder Title: Miami: Slamming Golf Tournament.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001040001001	Image	image/tiff	936	768	0x5A1BA7AE	24 bit color	600dpi	RGB	asm03000001040001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/68	68	74.jpg	/asm0300/image/74.jpg
