Title	Photographer	Summary	Note	Subject	Genre	Publisher	Date	Coverage	State	County	City	Place	Physical Description	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Directory	Object ID	Digital ID	Type	Format	Width	Height	Checksum	BitDepth	Resolution	Colorspace	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Coral Gables - 1926 - aerial view	Hoit, Richard B.	Aerial view of Coral Way, featuring Coral Gables City Hall (just left of center), looking eastward toward Miami.		Coral Way (Coral Gables, Florida); Streets; Skylines; Shorelines;	Photographs; Aerial views; Cityscapes		ca. 1926	1920-1930	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Aerial Views.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000090001001	Image	image/tiff	946	768	0x84F4A276	24 bit color	600dpi	Grayscale	asm03000000090001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/10	10	8.jpg	/asm0300/image/8.jpg
Downtown Miami traffic		The streets of downtown Miami are crowded with pedestrians and cars in 1925. The businesses and retail stores along the street include the Luggage Shoppe, the Rex Cigar Store, the Miami College of Dancing, the Townley Building, Shipp & Futch, the Man's Shop, and the Ralston Building. The Cortez building is in the distance on the right.		City traffic; Automobiles; Shopping centers;	Photographs		1925	1920-1930	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Downtown.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001140001001	Image	image/tiff	946	768	0xEE9D0D5C	24 bit color	600dpi	RGB	asm03000001140001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/11	11	83.jpg	/asm0300/image/83.jpg
Vizcaya	City of Miami News Bureau	View of Vizcaya grounds, taken March 16, 1957. Vizcaya was the winter residence of American industrialist James Deering. The gardens combine elements of Renaissance Italian and French designs and feature fountains, a central pool surrounding an elevated island, and the elevated Mound, up the steps of which these tourists are climbing.		Vizcaya Museum and Gardens (Miami, Florida); Tourist attractions; Gardens; Deering, James, d. 1925 -- Homes and haunts;	Photographs		1957	1950-1960	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami: Vizcaya.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000550001001	Image	image/tiff	621	768	0xDE049F01	24 bit color	600dpi	RGB	asm03000000550001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/12	12	54.jpg	/asm0300/image/54.jpg
Ingraham Highway	City of Miami News Bureau	A motorist drives under the shade of tall banyans on Ingraham Highway in Coconut Grove.		Ingraham Highway (Miami, Florida); Streets	Photographs				Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coconut Grove.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000040001001	Image	image/tiff	943	768	0x9A38A6BF	24 bit color	600dpi	Grayscale	asm03000000040001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/13	13	3.jpg	/asm0300/image/3.jpg
Macaws at Miami zoo	City of Miami News Bureau	Blue, green and red-feathered macaws at one Miami zoo are so tame they pose easily with this pretty model.		Macaws; Women in advertising; Sex in advertising;	Photographs				Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 5; Folder Title: Miami: Zoos.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001030001001	Image	image/tiff	944	768	0x38D14AF	24 bit color	600dpi	RGB	asm03000001030001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/14	14	73.jpg	/asm0300/image/73.jpg
Young men at the Venetian pool	Romer, Gleason Waite, 1887-1971	Young men clown around at the Venetian Pool. Looks like someone got pushed in!	"C436 E."	Venetian Pool (Coral Gables, Florida); Tourist attractions; Swimming pools;	Photographs		ca. 1926-1927	1920-1930	Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Venetian Pool-Water Tower.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000300001001	Image	image/tiff	959	768	0x4307F6BF	24 bit color	600dpi	RGB	asm03000000300001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/15	15	29.jpg	/asm0300/image/29.jpg
Miami: bridge		Palms wave above a bridge at SW 2nd Avenue.		Bridges; Trolley cars;	Photographs		1925	1920-1930	Florida	Miami-Dade County (Florida)	Miami (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami: Street Scenes.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001320001001	Image	image/tiff	950	768	0x4185624E	24 bit color	600dpi	RGB	asm03000001320001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/16	16	101.jpg	/asm0300/image/101.jpg
Metropolitan Miami, 1940-1965		A map shows the growth of the borders of Miami between 1940 and 1965.		Cities and towns -- Growth; Statistics;	Photographs; Maps		1940-1965	1940-1970	Florida	Miami-Dade County (Florida)			1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 2; Folder Title: Miami: Statistics.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000490001001	Image	image/tiff	498	768	0x9B67B087	24 bit color	600dpi	RGB	asm03000000490001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/17	17	48.jpg	/asm0300/image/48.jpg
Hurricane damage on the Causeway		Miami's County Causeway (later MacArthur Causeway) on September 20, 1926. This was two days after the severe hurricane of 1926.		Hurricanes; MacArthur Causeway (Miami, Florida); Causeways;	Photographs		1926	1920-1930	Florida	Miami-Dade County (Florida)			1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  II Al Samet Photographs	Box No. 6; Folder Title: Miami Beach: Causeways.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000001440001001	Image	image/tiff	1022	558	0xB72CC944	24 bit color	600dpi	RGB	asm03000001440001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/18	18	113.jpg	/asm0300/image/113.jpg
Biltmore Hotel and golf course		Looking northward at the Biltmore Hotel with its golf course; meandering through it is the Coral Gables Waterway, and in the left corner (to the south) is the lawns of the Riviera Country Club. The north-south street at right is Granada Boulevard.		Miami Biltmore Hotel and Country Club; Hotels; Country clubs; Tourist attractions; Riviera Country Club (Coral Gables, Florida); Granada Boulevard (Coral Gables, Florida); Coral Gables Waterway (Florida)	Photographs; Aerial views				Florida	Miami-Dade County (Florida)	Coral Gables (Florida)		1 b&w photograph	University of Miami Libraries. Special Collections	The Florida Photograph Collection.	ASM0300	Series:  I General Photographs	Box No. 1; Folder Title: Coral Gables: Hotels: Biltmore Hotel.	http://merrick.library.miami.edu/digitalprojects/copyright.html				asm03000000160001001	Image	image/tiff	1023	718	0x1050FD52	24 bit color	600dpi	RGB	asm03000000160001001.tif		2006-11-14	2012-08-09	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0300/id/19	19	15.jpg	/asm0300/image/15.jpg
