Title	Photographer	Contributors	Summary	Note	Subject	Genre	Date	Coverage Temporal	Location	Physical Description	Language	Repository	Collection Title	Collection No.	Series	Container	Copyright	Rights	Editor	Object ID	Hardware	Software	Directory	Digital ID	Type	Format	File Size	Width	Height	Checksum	Color Space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Female students at the Anastasia building				Written on verso: "Anastasia Bldg; 1936?; Frances Hovey Bergh is seated, 2d row, 4th from left; probably her girls' choir"		Photographs	1936	1930-1940	Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.6 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 1; Folder No. 6; Folder Title: Students: 1930s, 1930s	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420200370001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/33	33	83.jp2	/um_students/image/83.jp2
Girl in dorm room				Written on verso: "Leona Collins"		Photographs			Coral Gables (Florida)	1 b&w photograph; 25.4x20.5cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 3; Folder No. 4; Folder Title: Students in Dorms (1 of 3).	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420200420001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/34	34	75.jp2	/um_students/image/75.jp2
Group of three female international students in costume.	Fisher, Dennis			Written on verso: "12/15/65"		Photographs	1965-12-15	1960-1970	Coral Gables (Florida)	1 b&w photograph; 20.7 x 25.3 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 2; Folder No. 6; Folder Title: Students: Foreign Students.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420200110001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/35	35	27.jp2	/um_students/image/27.jp2
Student speaking at protest						Photographs	1970-05-06	1970-1980	Coral Gables (Florida)	1 b&w photograph; 25.5 x 20.6 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 7; Folder No. 7; Folder Title: Students Protesting.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420200760001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/36	36	36.jp2	/um_students/image/36.jp2
Nancy Pierce, Carnegie Fellowship winner	Fisher, Ray			Written on verso: "Nancy Pierce Carnegie Fellowship winner Hurricane, May 16, 1952 Page 3" Text in center of painting: "LIMES"		Photographs	1952-05-16	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.3 x 20.5 cm	eng	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 7; Folder No. 11; Folder Title: Students: Scholarship and Award Recipients, v.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html	© Ray Fisher. All rights reserved.						asu06420200930001001	Image	image/tiff										2009-06-18	2012-09-13	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/37	37	38.jp2	/um_students/image/38.jp2
Bill Baird				Written on verso: "Bill Baird", "1950s"		Portrait photographs			Coral Gables (Florida)	1 b&w photograph; 12 x 17.8 cm	ENG	University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 3; Folder No. 9; Folder Title: Students: Individuals (B) photos/negatives, v.d.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201690001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/38	38	163.jp2	/um_students/image/163.jp2
Two students talking				Caption on attached note: "Joan Thompson greets Rocco Flamagetti with a pleasant smile in the patio of the Main building of the University."		Photographs			Coral Gables (Florida)	1 b&w photograph; 21.7 x 15.4 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 2;  Folder No. 8;  Folder Title: Students: Group Photos (1 of 2).	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201570001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/39	39	16.jp2	/um_students/image/16.jp2
MFA candidates at the University of Miami.				Written on verso: "MFA Candidates at the University of Miami. Seated: Henry Leung, Beryl Solla; Standing, L-R: Bill Humphreys, Doug Adams, and Skip Hines"		Photographs			Coral Gables (Florida)	1 b&w photograph; 17.9 x 12.7 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 2; Folder No. 8; Folder Title: Students: Group Photos (1 of 2).	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201560001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/40	40	105.jp2	/um_students/image/105.jp2
Students in a fishing class with a professor						Photographs			Coral Gables (Florida)	1 b&w photograph; 25.4 x 20.6 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 1; Folder No. 13; Folder Title: Students: at Beach.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201390001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/41	41	202.jp2	/um_students/image/202.jp2
Frosh "Button"				Written on verso: "Frosh 'Button'; October 1950 Tempo"		Photographs	1950-10	1950-1960	Coral Gables (Florida)	1 b&w photograph; 25.8 x 20.3 cm		University of Miami. University Archives.	University of Miami Historical Photograph Collection	ASU0642	Series V: Students	Box No. 2; Folder No. 7; Folder Title: Students: Frosh.	http://merrick.library.miami.edu/digitalprojects/copyright.html							asu06420201500001001												2009-06-18	2011-03-24	http://merrick.library.miami.edu:80/cdm/ref/collection/um_students/id/43	43	149.jp2	/um_students/image/149.jp2
