Scientific Name	Common Name	Synomyns	Contents	Summary	Collector(s)	Collection Date	Serial Structure	Type of Section	Magnification	Note	Comments on Plant	Origin of Plant	Country	Kingdom	Phylum/Division	Class	Order	Family	Genus	Specific Epithet	Authority	Accession Number	Slide Serial	Publisher	Repository	Collection	Subject	Type	Format	Genre	Physical Description	Copyright	Object ID	Digital ID	Microscope	Digital Camera	Software	Date Created	Source File	File Size	Width	Height	Checksum	Color Space	Bit Depth	Resolution	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Paramignya monophylla Wight (Tillson 150)							Young flower bud	x	4x			Experimental Greenhouse, U.S.D.A.  Glenn Dale, Maryland	United States				Sapindales	Rutaceae	Paramignya	monophylla	Wight	Tillson 150	A-4	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson150	bio00010167690001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010167690001001.tif	24357452 Bytes	2784	2916	2017661814	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1046	1046	1060.jp2	/swingle/image/1060.jp2
Stauranthus perforatus  (Tillson 653)					Purpus, C.A.; 10865	Oct., 1926	Flower bud	x	4x		USNH No. 1269729	Zacuapan, Veracruz, Mexico	Mexico				Sapindales	Rutaceae	Stauranthus	perforatus		Tillson 653	A-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson653	bio00010204390001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010204390001001.tif	18303908 Bytes	2316	2634	2069925952	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1047	1047	1083.jp2	/swingle/image/1083.jp2
Casimiroa edulis  (F44)	white sapote; Mexican apple				Wylie, Robert B.	September, 1944	Leaf	x	10x			Miami, Florida	United States				Sapindales	Rutaceae	Casimiroa	edulis		F44	1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	F44	bio00010247130001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010247130001001.tif	10776284 Bytes	2784	1290	2352239761	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1048	1048	1108.jp2	/swingle/image/1108.jp2
Lecythis cubia  (S41)					Venning, F.D.	Summer, 1950	Leaves	cleared whole mounts	10x		Material collected for Wylie, Robert B., Dr., Prof. Emeritus of Botany, State University of Iowa.  Dr. Wylie had duplicate slides made of this material and presented these to the Swingle Plant Research Laboratory in 1953.	Harvard Atkins Garden, Soledad, Cuba	Cuba				Ericales	Lecythidaceae	Lecythis	cubia		S41	1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	S41	bio00010249220001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010249220001001.tif	37604372 Bytes	4080	3072	1372946461	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1049	1049	1099.jp2	/swingle/image/1099.jp2
Galipea jasminiflora  (Tillson 436)					Hoehne, F.C.	10/4/1925	Flower bud	x	4x		Bot. e. Agron. Do Inst. Biol. N. 13616.	Brazil, Nova Europa, Sao Paulo	Brazil					Rutaceae	Galipea	jasminiflora		Tillson 436	A-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson436	bio00010191260001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010191260001001.tif	12634268 Bytes	2040	2064	2864234118	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-07-09	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1050	1050	1087.jp2	/swingle/image/1087.jp2
Euphoria gracilis  (SV140)					Agama, J. 1076	November 1920	Base of leaf	x	4x		Flowers, leaf, young fruits.  Natl. Herb. 1093472.  Herb. Bur. Sci. Phil.	Philippines	Philippines					Sapindaceae	Euphoria	gracilis		SV140	A-4	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV140	bio00010015530001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010015530001001.tif	37604372 Bytes	4080	3072	2881486414	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1051	1051	1140.jp2	/swingle/image/1140.jp2
Rhizophora mangle  (F94)					Wylie, Robert B.	September, 1944	Leaf	x	10x			Miami, Florida	United States				Malpighiales	Rhizophoraceae	Rhizophora	mangle		F94	1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	F94	bio00010248720001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010248720001001.tif	33996828 Bytes	4044	2802	3269517251	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1052	1052	1097.jp2	/swingle/image/1097.jp2
Sapindus saponaria L. (SV23)					Swingle, W.T.	11/2/1943	Flower	x	4x		Flowers, flower buds, leaves. FAA	Florida Sub-Tropical Experiment Station, Homestead, Florida	United States					Sapindaceae	Sapindus	saponaria	L.	SV23	B-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV23	bio00010035450001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010035450001001.tif	22806212 Bytes	2484	3060	102282433	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1053	1053	1050.jp2	/swingle/image/1050.jp2
Micromelum compressum var. inodorum  (Tillson 279)					Ramos, M.		Flower bud	x	4x		TTM 284.  Herb. Bur. Sci. Phil. No. 16689.	Rizal, Bontoc, Philippines	Philippines				Sapindales	Rutaceae	Micromelum	compressum var. inodorum		Tillson 279	A-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson279	bio00010178840001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010178840001001.tif	17449452 Bytes	2544	2286	393898083	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1054	1054	1052.jp2	/swingle/image/1052.jp2
Atalantia buxifolia (Poir.) Oliver ex Benth. (Tillson 54)					Tillson, A.H.		Flower bud	x	10x			Glenn Dale, Maryland, U.S.D.A.	United States				Sapindales	Rutaceae	Atalantia	buxifolia	(Poir.) Oliver ex Benth.	Tillson 54	B-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson54	bio00010199200001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010199200001001.tif	37604372 Bytes	4080	3072	909635059	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1055	1055	1133.jp2	/swingle/image/1133.jp2
Pleiospermium dubium  (Tillson 715)					Hochreutiner	12/31/1904	Fruit segment	x	4x	edge of the fruit wall	Pl. Bog. Exic. No. 111.  From Herb. Mus. Paris.	Java, Buitenzorg Bot. Gard.	Indonesia					Rutaceae	Pleiospermium	dubium		Tillson 715	A-8	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson715	bio00010210640001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010210640001001.tif	37604372 Bytes	4080	3072	1882305986	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-07-09	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1056	1056	1103.jp2	/swingle/image/1103.jp2
Paramignya longepedunculata  (Tillson 337)					Ramos, M.	Nov., 1909	Flower bud	x	4x		TTUS 885.  U.S. Nat'l Herb. No. 1397379.  Phil. Bur. Sci. Herb. No. 39.	[Philippines]	Philippines				Sapindales	Rutaceae	Paramignya	longepedunculata		Tillson 337	A-8	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson337	bio00010183490001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010183490001001.tif	37604372 Bytes	4080	3072	2187766875	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1057	1057	1059.jp2	/swingle/image/1059.jp2
Santalum album  (S3)	Sandal wood				Venning, F.D.	Summer, 1950	Leaves	cleared whole mounts	10x		Material collected for Wylie, Robert B., Dr., Prof. Emeritus of Botany, State University of Iowa.  Dr. Wylie had duplicate slides made of this material and presented these to the Swingle Plant Research Laboratory in 1953.	Harvard Atkins Garden, Soledad, Cuba	Cuba				Santalales	Santalaceae	Santalum	album		S3	1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	S3	bio00010249090001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010249090001001.tif	37604372 Bytes	4080	3072	2819433568	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1058	1058	1062.jp2	/swingle/image/1062.jp2
Cinnamomum ceylanicum  (STV3)	cinnamon						Flower	l	4x								Laurales	Lauraceae	Cinnamomum	ceylanicum		STV3	A-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	STV3	bio00010007970001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010007970001001.tif	12425244 Bytes	1896	2184	438752008	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1059	1059	1100.jp2	/swingle/image/1100.jp2
Covillea racemosa  (S46)					Venning, F.D.	Summer 1950	Leaves	cleared whole mounts	40x		Material collected for Wylie, Robert B., Dr., Prof. Emeritus of Botany, State University of Iowa.  Dr. Wylie had duplicate slides made of this material and presented these to the Swingle Plant Research Laboratory in 1953.	Harvard Atkins Garden, Soledad, Cuba	United States						Covillea	racemosa		S46	1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	S46	bio00010249270001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010249270001001.tif	13395756 Bytes	2472	1806	2196128267	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1060	1060	1056.jp2	/swingle/image/1056.jp2
Ptelea trifoliata L. (Tillson 215)	Hop tree						Flower bud	x	4x			University of Maryland Campus	United States				Sapindales	Rutaceae	Ptelea	trifoliata	L.	Tillson 215	B-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson215	bio00010173830001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010173830001001.tif	19137732 Bytes	2316	2754	3071736	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1061	1061	1139.jp2	/swingle/image/1139.jp2
Acacia auriculiformis  (F58)					Wylie, Robert B.	September, 1944	Leaf	paradermal	40x			Miami, Florida	United States				Fabales	Fabaceae	Acacia	auriculiformis		F58	1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	F58	bio00010247580001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010247580001001.tif	37604372 Bytes	4080	3072	4123815512	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1062	1062	1063.jp2	/swingle/image/1063.jp2
Terminalia myriocarpa  (S42)	Wild almond;  Indian almond;  Barbados almond				Venning, Frank D.	summer, 1950	Leaves	cleared whole mounts	10x		Material collected for Wylie, Robert B., Dr., Prof. Emeritus of Botany, State University of Iowa.  Dr. Wylie had duplicate slides made of this material and presented these to the Swingle Plant Research Laboratory in 1953.	Harvard Atkins Garden, Soledad, Cuba	Cuba					Combretaceae	Terminalia	myriocarpa		S42	1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	S42	bio00010249230001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010249230001001.tif	37604372 Bytes	4080	3072	1425819588	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1063	1063	1101.jp2	/swingle/image/1101.jp2
Ficus religiosa L. (SV7)	peepul;  pipal;  pipul;  bo-tree				Venning, F.D.	7/9/1943	Terminal leaf bud	x	4x		Leaf. FAA	Patio, Anastasia Bldg., University of Miami, Coral Gables, Florida	United States				Rosales	Moraceae	Ficus	religiosa	L.	SV7	B-1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV7	bio00010143750001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010143750001001.tif	22206564 Bytes	2472	2994	881920747	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1064	1064	1048.jp2	/swingle/image/1048.jp2
Lantana depressa  (SV11)					Venning, F.D.	10/6/1943	Young fruit	x	4x	ovary	Flowers. Young and maturing fruits. Navashin's Fluid.	Coral Gables, Florida	United States				Lamiales	Verbenaceae	Lantana	depressa		SV11	B-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV11	bio00010011520001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010011520001001.tif	23338004 Bytes	2532	3072	1570678653	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1065	1065	1110.jp2	/swingle/image/1110.jp2
Micromelum compressum  (Tillson 128)					Ramos, M.; 23532	July-Aug. 1915	Flower bud	x	4x		T.T. Mc 288.  Bur. Sci. Phil. Herb.	Prov. Sorsogon, Luzon, Philippines	Philippines				Sapindales	Rutaceae	Micromelum	compressum		Tillson 128	A-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson128	bio00010166510001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010166510001001.tif	19234156 Bytes	2556	2508	2369854468	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1066	1066	1113.jp2	/swingle/image/1113.jp2
Amyris madrensis  Wats. (SV300)					Pringle, C.G.; 2540	5/27-7/19/1889	Flower	x	10x		Fruits, flowers.  Natl. Herb. 15314.  Plantae Mexicanae.	Mts. Near Monterey, Mexico	Mexico				Sapindales	Rutaceae	Amyris	madrensis	Wats.	SV300	A-2	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV300	bio00010046440001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010046440001001.tif	33623060 Bytes	3648	3072	3619697100	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1067	1067	1076.jp2	/swingle/image/1076.jp2
Microcitrus australis  (Tillson 785)							Pistil	l	4x		PEI 31877	Plant Introd. Garden, Glenn Dale, Maryland	United States				Sapindales	Rutaceae	Microcitrus	australis		Tillson 785	D-4	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson785	bio00010219000001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010219000001001.tif	37604372 Bytes	4080	3072	1921420395	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1068	1068	1054.jp2	/swingle/image/1054.jp2
Halfordia kendack  (Tillson 658)					Kajewski, S.F.; 698	02-04-1929	Flower bud	x	4x		USNH 1575746	Aneityum Island, Anelgauhat Bay, New Hebrides, sea level.	Vanuatu				Sapindales	Rutaceae	Halfordia	kendack		Tillson 658	B-5	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson658	bio00010204670001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010204670001001.tif	37604372 Bytes	4080	3072	3579372314	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1069	1069	1123.jp2	/swingle/image/1123.jp2
Micromelum compressum  (Tillson 281)					Cumming; 597	1841	Fruit	x	4x		TTM 293.  Type.						Sapindales	Rutaceae	Micromelum	compressum		Tillson 281	A-1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson281	bio00010179060001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010179060001001.tif	37604372 Bytes	4080	3072	2184781352	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1070	1070	1051.jp2	/swingle/image/1051.jp2
Grevillea   (F64)					Wylie, Robert B.	September, 1944	Leaf	paradermal	40x			Miami, Florida	United States					Proteaceae	Grevillea			F64	1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	F64	bio00010247770001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010247770001001.tif	37604372 Bytes	4080	3072	2026146751	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-07-09	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1071	1071	1073.jp2	/swingle/image/1073.jp2
Tamala borbonia  (F108)					Wylie, Robert B.	September, 1944	Leaf	paradermal	40x			Miami, Florida	United States						Tamala	borbonia		F108	1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	F108	bio00010245160001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010245160001001.tif	37604372 Bytes	4080	3072	3481764242	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-07-09	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1072	1072	1106.jp2	/swingle/image/1106.jp2
Zanthoxylum fagara  (SV78)					Venning, F.D.; Swingle, W.T.	6/2/1944	Rachis of leaf; 2 leaflets	x	4x		Flower buds, leaf. FAA	Matheson Hammock, Miami, Florida	United States					Rutaceae	Zanthoxylum	fagara		SV78	A-8	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV78	bio00010156090001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010156090001001.tif	20130836 Bytes	2184	3072	1952680093	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1073	1073	1084.jp2	/swingle/image/1084.jp2
Paramignya hainensis  (Tillson 290)					Lan; 339	7/30/1932	Flower bud	x	4x			Naam Shan Leng, Hainan	China				Sapindales	Rutaceae	Paramignya	hainensis		Tillson 290	A-4	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson290	bio00010179780001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010179780001001.tif	19688468 Bytes	2136	3072	1278096338	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1074	1074	1082.jp2	/swingle/image/1082.jp2
Amyris balsamifera L. (Tillson 75)	Candlewood				Earle; Wilson	12/19/1910	Flower bud	x	4x		Natl. Herb. No. 658828	Border of Mangroves, Pro. Santa Clara, Rio Gavelan, Cuba	Cuba				Sapindales	Rutaceae	Amyris	balsamifera	L.	Tillson 75	A-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson75	bio00010215160001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010215160001001.tif	12210956 Bytes	1884	2160	588950032	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1075	1075	1134.jp2	/swingle/image/1134.jp2
Euphoria longana  (SV9)					Venning, F.D.	9/15/1943	Young leaf	x	4x		Leaves. FAA	Fairchild Tropical Garden, Miami, Florida	United States					Sapindaceae	Euphoria	longana		SV9	A-7	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV9	bio00010159800001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010159800001001.tif	37604372 Bytes	4080	3072	1613760908	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1076	1076	1075.jp2	/swingle/image/1075.jp2
Citropsis latialata  (Tillson 669)					Secret, F.; 241	10/26/1905	Pistil	x	4x		Herb. Hort. Bruxelles	Bambili, Belg. Congo.	Democratic Republic of the Congo				Sapindales	Rutaceae	Citropsis	latialata		Tillson 669	A-6	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson669	bio00010205680001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010205680001001.tif	17803620 Bytes	2316	2562	2085815600	RGB	3 Samples Per Pixel	432 ResolutionUnit_InchesPerPixel		2009-06-29	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/1077	1077	1090.jp2	/swingle/image/1090.jp2
