Scientific Name	Common Name	Synomyns	Contents	Summary	Collector(s)	Collection Date	Serial Structure	Type of Section	Magnification	Note	Comments on Plant	Origin of Plant	Country	Kingdom	Phylum/Division	Class	Order	Family	Genus	Specific Epithet	Authority	Accession Number	Slide Serial	Publisher	Repository	Collection	Subject	Type	Format	Genre	Physical Description	Copyright	Object ID	Digital ID	Microscope	Digital Camera	Software	Date Created	Source File	File Size	Width	Height	Checksum	Color Space	Bit Depth	Resolution	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Citropsis schweinfurthii (Engl.) Swingle & Kellerm. (Tillson 35)		[Citropis in catalog]	young flower bud (x); young flower bud (l);	Digitized images of microscopic slices of Citropsis schweinfurthii (Engl.) Swingle & Kellerm. (Tillson 35) plant structures that were stained and permanently mounted to a glass slide.	Tillson, A.H.							Glenn Dale, Maryland, U.S.D.A.	United States				Sapindales	Rutaceae	Citropsis	schweinfurthii	(Engl.) Swingle & Kellerm.	Tillson 35		University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs		http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson35															2009-07-14	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2637	2637	2638.cpd	/swingle/image/2638.cpd
A-6 Flower (l) 4x image 1					Langlasse; 230		Flower	l	4x		Two flowers.  Herb. E. Drake.  Herb. Mus. Paris.	Ile. St. Barlie						Rutaceae	Atalantia	citrioides	Pierre ex Engl. & Prantl.	SV237	A-6	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV237	bio00010036330001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010036330001001.tif	37604372 Bytes	4080	3072	2946417687	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2638	2638	2639.jp2	/swingle/image/2639.jp2
A-10 Flower (l) 4x image 1					Langlasse; 230		Flower	l	4x		Two flowers.  Herb. E. Drake.  Herb. Mus. Paris.	Ile. St. Barlie						Rutaceae	Atalantia	citrioides	Pierre ex Engl. & Prantl.	SV237	A-10	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	SV237	bio00010036370001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010036370001001.tif	37604372 Bytes	4080	3072	2539593168	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2639	2639	2640.jp2	/swingle/image/2640.jp2
Atalantia citrioides Pierre ex Engl. & Prantl. (SV237)			flower (l);	Digitized images of microscopic slices of Atalantia citrioides Pierre ex Engl. & Prantl. (SV237) plant structures that were stained and permanently mounted to a glass slide.	Langlasse; 230						Two flowers.  Herb. E. Drake.  Herb. Mus. Paris.	Ile. St. Barlie					Sapindales	Rutaceae	Atalantia	citrioides	Pierre ex Engl. & Prantl.	SV237		University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs		http://merrick.library.miami.edu/digitalprojects/copyright.html	SV237															2009-07-14	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2640	2640	2641.cpd	/swingle/image/2641.cpd
A-1 Flower bud (l) 4x image 1					Ching, R.C.; 7854	10/15/1928	Flower bud	l	4x	First slide of same section.	U.S. Nat'l Herb. No. 1508980.	Kwangsi, S. Nanning.  1200 ft.						Rutaceae	Micromelum			Tillson 275	A-1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson275	bio00010178450001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010178450001001.tif	28314644 Bytes	3072	3072	1795858913	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2641	2641	2642.jp2	/swingle/image/2642.jp2
A-1 Flower bud (l) 4x image 2					Ching, R.C.; 7854	10/15/1928	Flower bud	l	4x	Second and last slide of same section.	U.S. Nat'l Herb. No. 1508980.	Kwangsi, S. Nanning.  1200 ft.						Rutaceae	Micromelum			Tillson 275	A-1	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson275	bio00010178450002	Olympus BX60	Olympus DB71	Olympus DPController		bio00010178450002001.tif	27651092 Bytes	3000	3072	3749548562	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-08-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2642	2642	2643.jp2	/swingle/image/2643.jp2
Micromelum   (Tillson 275)			flower bud (l);	Digitized images of microscopic slices of Micromelum   (Tillson 275) plant structures that were stained and permanently mounted to a glass slide.	Ching, R.C.; 7854	10/15/1928					U.S. Nat'l Herb. No. 1508980.	Kwangsi, S. Nanning.  1200 ft.	China				Sapindales	Rutaceae	Micromelum			Tillson 275		University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs		http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson275															2009-07-14	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2643	2643	2644.cpd	/swingle/image/2644.cpd
A-3 Flower bud (x) 4x image 1					Wang, C.W.; 721124		Flower bud	x	4x		Herb. Arn. Arb. 11/16/1938.	China, Yunnan, Chen-Kang Hsien.  Alt. 1500m.						Rutaceae	Murraya	sp.		Tillson 417	A-3	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson417	bio00010189140001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010189140001001.tif	27651092 Bytes	3000	3072	2629939579	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-07-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2644	2644	2645.jp2	/swingle/image/2645.jp2
A-4 Flower bud (x) 4x image 1					Wang, C.W.; 721124		Flower bud	x	4x		Herb. Arn. Arb. 11/16/1938.	China, Yunnan, Chen-Kang Hsien.  Alt. 1500m.						Rutaceae	Murraya	sp.		Tillson 417	A-4	University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs	1 section from 1 glass slide	http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson417	bio00010189150001	Olympus BX60	Olympus DB71	Olympus DPController		bio00010189150001001.tif	29309972 Bytes	3180	3072	1314641659	RGB	3 Samples Per Pixel	432 Pixels Per Inch		2009-07-02	2009-07-02	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2645	2645	2646.jp2	/swingle/image/2646.jp2
Murraya sp.  (Tillson 417)			flower bud (x);	Digitized images of microscopic slices of Murraya sp.  (Tillson 417) plant structures that were stained and permanently mounted to a glass slide.	Wang, C.W.; 721124						Herb. Arn. Arb. 11/16/1938.	China, Yunnan, Chen-Kang Hsien.  Alt. 1500m.	China				Sapindales	Rutaceae	Murraya	sp.		Tillson 417		University of Miami Libraries	University of Miami Department of Biology	Swingle Plant Anatomy Reference Collection	Plant anatomy; Botanical specimens	Image	image/tiff	Microscope slide; Photomicrographs		http://merrick.library.miami.edu/digitalprojects/copyright.html	Tillson417															2009-07-14	2009-08-04	http://merrick.library.miami.edu:80/cdm/ref/collection/swingle/id/2646	2646	2647.cpd	/swingle/image/2647.cpd
