Title	Creator	Summary	Note	Subject	Genre	Date	Coverage - Temporal	Physical Description	Language	Editor	Repository	Collection Title	Collection No.	Series	Container	Copyright	Digital ID	Object ID	File Size	Checksum	Format	Type	Height	Width	Archive	Directory	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Postcard from Ramón Grau San Martín to his mother, August 10, 1910	Grau San Martín, Ramón, 1887-1969	Postcard from Ramón Grau San Martín to his mother, Pilar San Martín de Grau, mailed from Lake Placid, N.Y., August 11, 1910	On recto: "Adirondack Cottage Sanatarium, near Sarnac Lake, N.Y."  On verso: "Published by the Valentine & Sons Publishing Co., New York and Boston."	Grau San Martín, Ramón, 1887-1969 -- Correspondence; San Martín de Grau, Pilar -- Correspondence; Presidents -- Cuba -- Correspondence	Postcards	1910-08-11	1910-1920	1  postcard	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series I. Polita Grau Papers, n.d., 1909-2000 (bulk dates 1978-1994). Sub-series B.  Ramón Grau San Martín Papers, n.d., 1909-1992.	Box No. 2  Folder No. 1  Folder Title: Correspondence. Folder Date: 1909-1911 1933	http://merrick.library.miami.edu/digitalprojects/copyright.html		0356000015			image/tiff	Image				000015		2013-02-18	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/810	810	811.cpd	/chc0356/image/811.cpd
Side 1																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000170001001	0356000017	324.469 KB	0x724508DC	imgage/tiff	Image	768	495	03560000170001001.tif			2006-11-11	2008-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/811	811	812.jpg	/chc0356/image/812.jpg
Side 2																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000170002001	0356000017	332.423 KB	0x500D7618	imgage/tiff	Image	768	500	03560000170002001.tif			2006-11-11	2008-08-14	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/812	812	813.jpg	/chc0356/image/813.jpg
Postcard from Ramón Grau San Martín to his mother, August 6, 1911	Grau San Martín, Ramón, 1887-1969	Postcard from Ramón Grau San Martín to his mother, Pilar San Martín de Grau, mailed from Lake Placid, N.Y., August 7, 1911	On recto: "No. 2. High Falls, Wilmington Notch, Adirondack Mountains." and stamp (mark): "Aug 5 - 1911"	Grau San Martín, Ramón, 1887-1969 -- Correspondence; San Martín de Grau, Pilar -- Correspondence; Presidents -- Cuba -- Correspondence; Lake Placid (N.Y.)	Postcards	1911-08-06	1910-1920	1  postcard	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series I. Polita Grau Papers, n.d., 1909-2000 (bulk dates 1978-1994). Sub-series B.  Ramón Grau San Martín Papers, n.d., 1909-1992.	Box No. 2  Folder No. 1  Folder Title: Correspondence. Folder Date: 1909-1911 1933	http://merrick.library.miami.edu/digitalprojects/copyright.html		0356000017			image/tiff	Image				000017		2013-02-18	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/813	813	814.cpd	/chc0356/image/814.cpd
Page 1																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000020001001	0356000002	352.158 KB	0x2D299C0A	imgage/tiff	Image	768	520	03560000020001001.tif			2006-11-12	2008-08-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/950	950	951.jpg	/chc0356/image/951.jpg
Page 2																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000020002001	0356000002	146.048 KB	0xE8CC938	imgage/tiff	Image	768	523	03560000020002001.tif			2006-11-12	2008-08-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/951	951	952.jpg	/chc0356/image/952.jpg
Los comunistas nunca sabemos por donde nos van a herir ...	Grau de Agüero, Polita, 1915-2000	Untitled manuscript of a speech by Polita Grau de Agüero that begins with "Los comunistas nunca sabemos por donde nos van a herir ..."		Communism -- Cuba; Speeches, addresses, etc.	Manuscripts			1 manuscript, 2 pages	spa	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series I. Polita Grau Papers, n.d., 1909-2000 (bulk dates 1978-1994).	Box No. 1  Folder No. 9  Folder Title: Speeches. Folder Date: n.d. 1987-1991	http://merrick.library.miami.edu/digitalprojects/copyright.html		0356000002			image/tiff	Text				000002		2013-02-18	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/952	952	953.cpd	/chc0356/image/953.cpd
Page 1																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000050001001	0356000005	314.276 KB	0x9A0332C9	imgage/tiff	Image	768	523	03560000050001001.tif			2006-11-12	2008-08-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/953	953	954.jpg	/chc0356/image/954.jpg
Page 2																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000050002001	0356000005	287.35 KB	0xB262E245	imgage/tiff	Image	768	523	03560000050002001.tif			2006-11-12	2008-08-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/954	954	955.jpg	/chc0356/image/955.jpg
Speech delivered to the Coalition of Hispanic American Women, Miami	Grau de Agüero, Polita, 1915-2000	Manuscript of a speech delivered to the Coalition of Hispanic American Women in Miami		Grau de Agüero, Polita, 1915-2000; Speeches, addresses, etc.; Cuba	Manuscripts		1980-1990	1 manuscript, 2 pages	eng	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series I. Polita Grau Papers, n.d., 1909-2000 (bulk dates 1978-1994).	Box No. 1  Folder No. 9  Folder Title: Speeches. Folder Date: n.d. 1987-1991	http://merrick.library.miami.edu/digitalprojects/copyright.html		0356000005			image/tiff	Text				000005		2013-02-18	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/955	955	956.cpd	/chc0356/image/956.cpd
Page 1																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000080001001	0356000008	225.443 KB	0xD6CE362B	imgage/tiff	Image	768	478	03560000080001001.tif			2006-11-12	2008-08-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/956	956	957.jpg	/chc0356/image/957.jpg
Page 2																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000080002001	0356000008	167.291 KB	0x123E5467	imgage/tiff	Image	768	476	03560000080002001.tif			2006-11-12	2008-08-20	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/957	957	958.jpg	/chc0356/image/958.jpg
Me apena el libro de Justo Carrillo	Grau de Agüero, Polita, 1915-2000	Typescript of an essay by Polita Grau de Agüero commenting a book written by Justo Carrillo		Carrillo, Justo; Cuba -- Politics and government	Typescripts	1986	1980-1990	1 photocopy of typescript, 2 pages	spa	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series I. Polita Grau Papers, n.d., 1909-2000 (bulk dates 1978-1994).	Box No. 1  Folder No. 11  Folder Title: Works by Grau Polita. Folder Date: n.d. 1980-1997	http://merrick.library.miami.edu/digitalprojects/copyright.html		0356000008			image/tiff	Text				000008		2013-02-18	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/958	958	959.cpd	/chc0356/image/959.cpd
Page 1																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000060001001	chc0356000006	222.281 KB	0xE7F68169	imgage/tiff	Image	768	492	03560000060001001.tif			2006-11-12	2008-08-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/959	959	960.jpg	/chc0356/image/960.jpg
Page 2																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000060002001	chc0356000006	212.656 KB	0x88B76DD6	imgage/tiff	Image	768	516	03560000060002001.tif			2006-11-12	2008-08-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/960	960	961.jpg	/chc0356/image/961.jpg
Page 3																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000060003001	chc0356000006	211.889 KB	0xAB0969FF	imgage/tiff	Image	768	481	03560000060003001.tif			2006-11-12	2008-08-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/961	961	962.jpg	/chc0356/image/962.jpg
Page 4																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000060004001	chc0356000006	217.176 KB	0x99925D53	imgage/tiff	Image	768	505	03560000060004001.tif			2006-11-12	2008-08-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/962	962	963.jpg	/chc0356/image/963.jpg
Page 5																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000060005001	chc0356000006	296.537 KB	0x4C72E5CE	imgage/tiff	Image	768	511	03560000060005001.tif			2006-11-12	2008-08-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/963	963	964.jpg	/chc0356/image/964.jpg
Page 6																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000060006001	chc0356000006	214.507 KB	0xCF17264C	imgage/tiff	Image	768	494	03560000060006001.tif			2006-11-12	2008-08-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/964	964	965.jpg	/chc0356/image/965.jpg
Page 7																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000060007001	chc0356000006	225.776 KB	0xAC54DBEF	imgage/tiff	Image	768	495	03560000060007001.tif			2006-11-12	2008-08-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/965	965	966.jpg	/chc0356/image/966.jpg
Page 8																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000060008001	chc0356000006	284.552 KB	0xF50C5714	imgage/tiff	Image	768	475	03560000060008001.tif			2006-11-12	2008-08-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/966	966	967.jpg	/chc0356/image/967.jpg
Page 9																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000060009001	chc0356000006	194.255 KB	0x813D0238	imgage/tiff	Image	768	516	03560000060009001.tif			2006-11-12	2008-08-21	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/967	967	968.jpg	/chc0356/image/968.jpg
Speech delivered to the American Dominican Alumnae 1991 Convention, Miami	Grau de Agüero, Polita, 1915-2000	Speech by Polita Grau delivered to the American Dominican Alumnae 1991 Convention in Miami. The speech begins with: "Me llamo Polita Grau, tuve el honor de haber sido presa política ..."		Grau de Agüero, Polita, 1915-2000; Speeches, addresses, etc.; Cuba -- Politics and government	Manuscripts	1991	1990-2000	1 manuscript, 9 pages	spa	oxe	University of Miami Libraries. Cuban Heritage Collection	Polita Grau de Agüero Papers.	CHC0356	Series I. Polita Grau Papers, n.d., 1909-2000 (bulk dates 1978-1994).	Box No. 1  Folder No. 9  Folder Title: Speeches. Folder Date: n.d. 1987-1991	http://merrick.library.miami.edu/digitalprojects/copyright.html		chc0356000006			image/tiff	Text						2013-02-18	2013-02-18	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/968	968	969.cpd	/chc0356/image/969.cpd
Page 1																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030001001	chc0356000003	237.511 KB	0xE672ED15	imgage/tiff	Image	768	496	03560000030001001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/969	969	970.jpg	/chc0356/image/970.jpg
Page 2																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030002001	chc0356000003	232.646 KB	0x933A1DAB	imgage/tiff	Image	768	501	03560000030002001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/970	970	971.jpg	/chc0356/image/971.jpg
Page 3																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030003001	chc0356000003	238.011 KB	0x3E73F4EF	imgage/tiff	Image	768	488	03560000030003001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/971	971	972.jpg	/chc0356/image/972.jpg
Page 4																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030004001	chc0356000003	244.376 KB	0xB4AE726A	imgage/tiff	Image	768	492	03560000030004001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/972	972	973.jpg	/chc0356/image/973.jpg
Page 5																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030005001	chc0356000003	249.25 KB	0xE71F64C2	imgage/tiff	Image	768	500	03560000030005001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/973	973	974.jpg	/chc0356/image/974.jpg
Page 6																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030006001	chc0356000003	419.907 KB	0xCD1D93C1	imgage/tiff	Image	665	1022	03560000030006001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/974	974	975.jpg	/chc0356/image/975.jpg
Page 7																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030007001	chc0356000003	243.524 KB	0xF5C3DF17	imgage/tiff	Image	768	490	03560000030007001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/975	975	976.jpg	/chc0356/image/976.jpg
Page 8																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030008001	chc0356000003	247.771 KB	0xD73018A9	imgage/tiff	Image	768	490	03560000030008001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/976	976	977.jpg	/chc0356/image/977.jpg
Page 9																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030009001	chc0356000003	240.59 KB	0xA8CA08E5	imgage/tiff	Image	768	497	03560000030009001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/977	977	978.jpg	/chc0356/image/978.jpg
Page 10																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030010001	chc0356000003	254.297 KB	0x69D3275C	imgage/tiff	Image	768	494	03560000030010001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/978	978	979.jpg	/chc0356/image/979.jpg
Page 11																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030011001	chc0356000003	248.719 KB	0x5AE6DA01	imgage/tiff	Image	768	496	03560000030011001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/979	979	980.jpg	/chc0356/image/980.jpg
Page 12																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030012001	chc0356000003	244.673 KB	0x435E8935	imgage/tiff	Image	768	495	03560000030012001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/980	980	981.jpg	/chc0356/image/981.jpg
Page 13																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030013001	chc0356000003	415.67 KB	0x5697F94	imgage/tiff	Image	662	1022	03560000030013001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/981	981	982.jpg	/chc0356/image/982.jpg
Page 14																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030014001	chc0356000003	240.132 KB	0xCC0D1C07	imgage/tiff	Image	768	486	03560000030014001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/982	982	983.jpg	/chc0356/image/983.jpg
Page 15																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030015001	chc0356000003	245.032 KB	0x18A7972B	imgage/tiff	Image	768	503	03560000030015001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/983	983	984.jpg	/chc0356/image/984.jpg
Page 16																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030016001	chc0356000003	242.019 KB	0xF35483A1	imgage/tiff	Image	768	488	03560000030016001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/984	984	985.jpg	/chc0356/image/985.jpg
Page 17																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030017001	chc0356000003	238.328 KB	0x3A01142E	imgage/tiff	Image	768	495	03560000030017001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/985	985	986.jpg	/chc0356/image/986.jpg
Page 18																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030018001	chc0356000003	246.517 KB	0xCD5AFF8C	imgage/tiff	Image	768	492	03560000030018001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/986	986	987.jpg	/chc0356/image/987.jpg
Page 19																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030019001	chc0356000003	261.153 KB	0xA3BCEF32	imgage/tiff	Image	768	501	03560000030019001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/987	987	988.jpg	/chc0356/image/988.jpg
Page 20																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030020001	chc0356000003	239.749 KB	0xDBE21FA8	imgage/tiff	Image	768	485	03560000030020001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/988	988	989.jpg	/chc0356/image/989.jpg
Page 21																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030021001	chc0356000003	247.134 KB	0xB416E605	imgage/tiff	Image	768	506	03560000030021001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/989	989	990.jpg	/chc0356/image/990.jpg
Page 22																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030022001	chc0356000003	252.771 KB	0x724234D9	imgage/tiff	Image	768	494	03560000030022001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/990	990	991.jpg	/chc0356/image/991.jpg
Page 23																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030023001	chc0356000003	251.183 KB	0x800A24BC	imgage/tiff	Image	768	513	03560000030023001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/991	991	992.jpg	/chc0356/image/992.jpg
Page 24																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030024001	chc0356000003	240.212 KB	0xD29E242	imgage/tiff	Image	768	474	03560000030024001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/992	992	993.jpg	/chc0356/image/993.jpg
Page 25																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030025001	chc0356000003	256.491 KB	0x9D306D27	imgage/tiff	Image	768	485	03560000030025001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/993	993	994.jpg	/chc0356/image/994.jpg
Page 26																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030026001	chc0356000003	247.344 KB	0x5D3E03A7	imgage/tiff	Image	768	501	03560000030026001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/994	994	995.jpg	/chc0356/image/995.jpg
Page 27																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030027001	chc0356000003	221.929 KB	0x186A2350	imgage/tiff	Image	768	489	03560000030027001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/995	995	996.jpg	/chc0356/image/996.jpg
Page 28																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030028001	chc0356000003	241.9 KB	0x6783C772	imgage/tiff	Image	768	492	03560000030028001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/996	996	997.jpg	/chc0356/image/997.jpg
Page 29																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030029001	chc0356000003	231.831 KB	0xCD481AC	imgage/tiff	Image	768	492	03560000030029001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/997	997	998.jpg	/chc0356/image/998.jpg
Page 30																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030030001	chc0356000003	218.072 KB	0x24601957	imgage/tiff	Image	768	478	03560000030030001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/998	998	999.jpg	/chc0356/image/999.jpg
Page 31																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030031001	chc0356000003	223.165 KB	0x9FC5E049	imgage/tiff	Image	768	481	03560000030031001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/999	999	1000.jpg	/chc0356/image/1000.jpg
Page 32																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030032001	chc0356000003	233.202 KB	0x645CA72D	imgage/tiff	Image	768	499	03560000030032001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1000	1000	1001.jpg	/chc0356/image/1001.jpg
Page 33																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030033001	chc0356000003	252.94 KB	0x743043BD	imgage/tiff	Image	768	505	03560000030033001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1001	1001	1002.jpg	/chc0356/image/1002.jpg
Page 34																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030034001	chc0356000003	235.362 KB	0x628937BF	imgage/tiff	Image	768	489	03560000030034001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1002	1002	1003.jpg	/chc0356/image/1003.jpg
Page 35																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030035001	chc0356000003	228.383 KB	0x4BAA7B11	imgage/tiff	Image	768	495	03560000030035001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1003	1003	1004.jpg	/chc0356/image/1004.jpg
Page 36																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030036001	chc0356000003	239.818 KB	0x4D6987CF	imgage/tiff	Image	768	494	03560000030036001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1004	1004	1005.jpg	/chc0356/image/1005.jpg
Page 37																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030037001	chc0356000003	237.562 KB	0x126E7823	imgage/tiff	Image	768	501	03560000030037001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1005	1005	1006.jpg	/chc0356/image/1006.jpg
Page 38																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030038001	chc0356000003	233.879 KB	0xB135D441	imgage/tiff	Image	768	490	03560000030038001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1006	1006	1007.jpg	/chc0356/image/1007.jpg
Page 39																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030039001	chc0356000003	240.747 KB	0x25B36186	imgage/tiff	Image	768	488	03560000030039001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1007	1007	1008.jpg	/chc0356/image/1008.jpg
Page 40																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030040001	chc0356000003	230.049 KB	0x890B290E	imgage/tiff	Image	768	495	03560000030040001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1008	1008	1009.jpg	/chc0356/image/1009.jpg
Page 41																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030041001	chc0356000003	233.758 KB	0x89F8BF76	imgage/tiff	Image	768	492	03560000030041001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1009	1009	1010.jpg	/chc0356/image/1010.jpg
Page 42																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030042001	chc0356000003	236.826 KB	0x4295FB88	imgage/tiff	Image	768	490	03560000030042001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1010	1010	1011.jpg	/chc0356/image/1011.jpg
Page 43																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030043001	chc0356000003	392.386 KB	0x41C62D0C	imgage/tiff	Image	668	1022	03560000030043001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1011	1011	1012.jpg	/chc0356/image/1012.jpg
Page 44																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030044001	chc0356000003	235.405 KB	0x1E325269	imgage/tiff	Image	768	489	03560000030044001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1012	1012	1013.jpg	/chc0356/image/1013.jpg
Page 45																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030045001	chc0356000003	238.481 KB	0xD52FB732	imgage/tiff	Image	768	499	03560000030045001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1013	1013	1014.jpg	/chc0356/image/1014.jpg
Page 46																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030046001	chc0356000003	240.272 KB	0xA08378F5	imgage/tiff	Image	768	492	03560000030046001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1014	1014	1015.jpg	/chc0356/image/1015.jpg
Page 47																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030047001	chc0356000003	401.941 KB	0xEC67D36A	imgage/tiff	Image	668	1022	03560000030047001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1015	1015	1016.jpg	/chc0356/image/1016.jpg
Page 48																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030048001	chc0356000003	243.998 KB	0xB30E2FD6	imgage/tiff	Image	768	498	03560000030048001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1016	1016	1017.jpg	/chc0356/image/1017.jpg
Page 49																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030049001	chc0356000003	410.534 KB	0x7FB6B50C	imgage/tiff	Image	668	1022	03560000030049001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1017	1017	1018.jpg	/chc0356/image/1018.jpg
Page 50																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030050001	chc0356000003	247.049 KB	0x711625B5	imgage/tiff	Image	768	507	03560000030050001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1018	1018	1019.jpg	/chc0356/image/1019.jpg
Page 51																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030051001	chc0356000003	415.474 KB	0x6BFE2458	imgage/tiff	Image	677	1023	03560000030051001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1019	1019	1020.jpg	/chc0356/image/1020.jpg
Page 52																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030052001	chc0356000003	232.679 KB	0x577D9B5D	imgage/tiff	Image	768	478	03560000030052001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1020	1020	1021.jpg	/chc0356/image/1021.jpg
Page 53																http://merrick.library.miami.edu/digitalprojects/copyright.html	03560000030053001	chc0356000003	241.858 KB	0x9D532A2E	imgage/tiff	Image	768	483	03560000030053001.tif			2006-11-12	2008-08-12	http://merrick.library.miami.edu:80/cdm/ref/collection/chc0356/id/1021	1021	1022.jpg	/chc0356/image/1022.jpg
