Title	Alternate Title	Photographer	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Drinking at Lummus Park		Carlebach, Michael L.			Written on verso: "Lummus Park"	Alcoholism; Florida; Photography, artistic; Photojournalism; Lummus Park (Miami, Florida);	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000370001001	Image		image/tiff				84749444 Bytes	5972	4729	1666065809	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000370001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/0	0	91.jp2	/asm0530/image/91.jp2
Man at Lummus Park		Carlebach, Michael L.			Written on verso: "Lummus Park"	Florida; Photography, artistic; Photojournalism; Portrait photography; Lummus Park (Miami, Florida); Alcoholism;	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000810001001	Image		image/tiff				84611780 Bytes	4754	5931	3517770690	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000810001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/1	1	76.jp2	/asm0530/image/76.jp2
Man at Lummus Park		Carlebach, Michael L.			Written on verso: "Lummus Park"	Florida; Photography, artistic; Photojournalism; Portrait photography; Lummus Park (Miami, Florida); Alcoholism;	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000830001001	Image		image/tiff				85323860 Bytes	4794	5931	3485963526	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000830001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/2	2	30.jp2	/asm0530/image/30.jp2
Fancy room at Tip Top Hotel		Carlebach, Michael L.			Written on verso: "Fancy room at the Tip Top Hotel"; "72032C227"	Alcoholism; Florida; Photography, artistic; Photojournalism; Tip Top Hotel	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000400001001	Image		image/tiff				85523532 Bytes	4794	5945	3801003362	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000400001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3	3	60.jp2	/asm0530/image/60.jp2
Dade County stockade		Carlebach, Michael L.			Written on verso: "Dade County stockade"; "73387C126A"	Alcoholism; Florida; Photography, artistic; Photojournalism; Dade County (Florida). Alcohol Rehabilitation Program	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000210001001	Image		image/tiff				85952688 Bytes	5972	4796	2189866870	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000210001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/4	4	81.jp2	/asm0530/image/81.jp2
Mr. Ledbetter		Carlebach, Michael L.			Written on verso: "Mr. Ledbetter"; "Lummus Park"	Florida; Photography, artistic; Photojournalism; Alcoholism; Portrait photography; Lummus Park (Miami, Florida);	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000820001001	Image		image/tiff				85324216 Bytes	4794	5931	535592916	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000820001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/5	5	51.jp2	/asm0530/image/51.jp2
Men's room at Lummus Park		Carlebach, Michael L.			Written on verso: "Men's room at Lummus Park Miami"	Florida; Photography, artistic; Photojournalism; Restrooms; Lummus Park (Miami, Florida); Alcoholism;	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000770001001	Image		image/tiff				85589012 Bytes	5952	4792	2962396974	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000770001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/6	6	34.jp2	/asm0530/image/34.jp2
Mr. Skin		Carlebach, Michael L.			Written on verso: "Mr. Skin- sells patches of himself for skin grafts"	Alcoholism; Florida; Photography, artistic; Photojournalism	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000020001001	Image		image/tiff				85913220 Bytes	4794	5972	1751678915	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000020001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/7	7	46.jp2	/asm0530/image/46.jp2
Mr. Ledbetter		Carlebach, Michael L.			Written on verso: "Mr. Ledbetter, Lummus Park"	Alcoholism; Florida; Photography, artistic; Photojournalism; Portrait photography	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000260001001	Image		image/tiff				86178384 Bytes	4820	5958	4243486553	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000260001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/8	8	49.jp2	/asm0530/image/49.jp2
AA barracks, Dade County stockade		Carlebach, Michael L.			Written on verso: "AA barracks, Dade County stockade"; "73387C124A"	Alcoholism; Florida; Photography, artistic; Photojournalism	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000520001001	Image		image/tiff				85524272 Bytes	4794	5945	230884604	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000520001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/9	9	23.jp2	/asm0530/image/23.jp2
Tip Top Hotel		Carlebach, Michael L.			Written on verso: "Tip Top Hotel";  "72029 C1 5A - 6"; Tip Top Hotel was a halfway house for alcoholics in Miami, Florida.	Alcoholism; Dade County (Florida). Alcohol Rehabilitation Program; Homelessness; Photography, artistic; Photojournalism; Tip Top Hotel;	Photographs		1972	1970-1980	Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches);	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Derelicts / Alcoholics				rtp; sr		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000080001001	Image		image/tiff				85464952 Bytes	5972	4769	3511666371	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000080001001.tif		2010-02-04	2011-03-10	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/10	10	64.jp2	/asm0530/image/64.jp2
Tattooed man		Carlebach, Michael L.			Written on verso: "71163C130"	Florida; Photography, artistic; Photojournalism; Alcoholism; Tattooing	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000090001001	Image		image/tiff				85819564 Bytes	4808	5948	3458250176	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000090001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/11	11	33.jp2	/asm0530/image/33.jp2
Men arrested in a weekend for public intoxication awaiting hearing		Carlebach, Michael L.			Written on verso: "Men arrested in a weekend for public intoxication awaiting hearing"	Florida; Photography, artistic; Photojournalism; Alcoholism; Municipal Courts	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000180001001	Image		image/tiff				85843968 Bytes	5972	4790	1832204835	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000180001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/12	12	41.jp2	/asm0530/image/41.jp2
Lummus Park		Carlebach, Michael			Written on verso: "Lummus Park"	Florida; Photography, artistic; Photojournalism; Alcoholism; Lummus Park (Miami, Florida)	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)			University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000530001001	Image		image/tiff				85936924 Bytes	5986	4784	2294759324	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000530001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/13	13	89.jp2	/asm0530/image/89.jp2
Tip Top Hotel		Carlebach, Michael L.			Written on verso: "Tip Top Hotel Miami"; "72029C13A-4"	Florida; Photography, artistic; Photojournalism; Alcoholism; Tip Top Hotel	Photographs			1970-1980	Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000450001001	Image		image/tiff				86118348 Bytes	6000	4783	2900497241	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000450001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/14	14	42.jp2	/asm0530/image/42.jp2
Jack Collins' front plate		Carlebach, Michael L.			Written on verso: "Jack Collins front plate"	Florida; Photography, artistic; Photojournalism; Alcoholism; Automobile license plates	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000140001001	Image		image/tiff				84833176 Bytes	5954	4748	854716149	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000140001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/15	15	26.jp2	/asm0530/image/26.jp2
Man waiting with bottle of alcohol		Carlebach, Michael L.			Written on verso: "Lummus Park"	Florida; Photography, artistic; Photojournalism; Alcoholism;	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000550001001	Image		image/tiff				84981272 Bytes	5972	4742	1463615450	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000550001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/16	16	82.jp2	/asm0530/image/82.jp2
Man near Lummus Park		Carlebach, Michael L.			Written on verso: "Near Lummus Park"	Florida; Photography, artistic; Photojournalism; Portrait photography; Lummus Park (Miami, Florida); Alcoholism;	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000900001001	Image		image/tiff				84610880 Bytes	5946	4742	2381754336	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000900001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/17	17	80.jp2	/asm0530/image/80.jp2
Lummus Park		Carlebach, Michael L.			Written on verso: "Lummus Park"	Alcoholism; Florida; Photography, artistic; Photojournalism; Lummus Park (Miami, Florida)	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000050001001	Image		image/tiff				84413340 Bytes	5932	4742	1550124631	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000050001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/18	18	83.jp2	/asm0530/image/83.jp2
Lummus Park		Carlebach, Michael L.			Written on verso: "Lummus Park"	Florida; Photography, artistic; Photojournalism; Portrait photography; Lummus Park (Miami, Florida); Alcoholism;	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000560001001	Image		image/tiff				85276540 Bytes	4780	5945	1265035680	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000560001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/19	19	75.jp2	/asm0530/image/75.jp2
Man at halfway house for alcoholics		Carlebach, Michael L.			Written on verso: "Halfway house for alcoholics"; "Miami"	Florida; Photography, artistic; Photojournalism; Alcoholism; Alcoholism;	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000870001001	Image		image/tiff				85210948 Bytes	4766	5958	2666986432	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000870001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/20	20	27.jp2	/asm0530/image/27.jp2
Dade County stockade		Carlebach, Michael L.			Written on verso: "Dade County stockade - man with bandaged leg was arrested with sores infested with maggots"	Florida; Photography, artistic; Photojournalism; Alcoholism	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000860001001	Image		image/tiff				86001940 Bytes	5962	4807	2174619130	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000860001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/21	21	36.jp2	/asm0530/image/36.jp2
Woman arrested for public drunkenness		Carlebach, Michael L.			Written on verso: "Woman arrested for public drunkenness"; "Lummus Park"	Alcoholism; Florida; Photography, artistic; Photojournalism; Lummus Park (Miami, Florida);	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000220001001	Image		image/tiff				85713792 Bytes	4794	5958	3144584779	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000220001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/22	22	38.jp2	/asm0530/image/38.jp2
Unidentified man		Carlebach, Michael L.			Written on verso: "71163C135A"; "Detail"	Florida; Photography, artistic; Photojournalism; Portrait photography; Alcoholism;	Photographs		1971	1970-1980	Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000630001001	Image		image/tiff				84658884 Bytes	5932	4756	830769901	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000630001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/23	23	16.jp2	/asm0530/image/16.jp2
Man at halfway house for alcoholics		Carlebach, Michael L.			Written on verso: "Halfway house for alcoholics"; "72032C314"	Florida; Photography, artistic; Photojournalism; Alcoholism	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000890001001	Image		image/tiff				85711076 Bytes	4794	5958	3873889231	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000890001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/24	24	55.jp2	/asm0530/image/55.jp2
Kehoe's halfway house for alcoholics		Carlebach, Michael L.			Written on verso: "Kehoe's halfway house for alcoholics Miami"; "72037C14A"	Alcoholism; Florida; Photography, artistic; Photojournalism; Portrait photography	Photographs			1970-1980	Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000250001001	Image		image/tiff				85598152 Bytes	4820	5918	1389188289	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000250001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/25	25	22.jp2	/asm0530/image/22.jp2
Fire hydrant support near the Miami River		Carlebach, Michael L.			Written on verso: "Fire hydrant support near the Miami River"	Florida; Photography, artistic; Photojournalism; Alcoholism;	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)			University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000710001001	Image		image/tiff				85479632 Bytes	5958	4781	3667833267	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000710001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/26	26	78.jp2	/asm0530/image/78.jp2
Man at Tip Top Hotel		Carlebach, Michael L.			Written on verso: "Man just released from Jackson Hosp., living at the Tip Top"	Alcoholism; Florida; Photography, artistic; Photojournalism; Portrait photography; Tip Top Hotel	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000380001001	Image		image/tiff				83545128 Bytes	4726	5891	797439584	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000380001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/27	27	62.jp2	/asm0530/image/62.jp2
Man at downtown Miami		Carlebach, Michael L.			Written on verso: "downtown Miami"	Florida; Photography, artistic; Photojournalism; Portrait photography; Alcoholism;	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000650001001	Image		image/tiff				86381420 Bytes	4820	5972	2080712453	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000650001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/28	28	43.jp2	/asm0530/image/43.jp2
Bulletin board		Carlebach, Michael L.				Alcoholism; Florida; Photography, artistic; Photojournalism; Cartoons & Comics	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000130001001	Image		image/tiff				85152500 Bytes	5954	4766	3538487053	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000130001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/29	29	73.jp2	/asm0530/image/73.jp2
Man at artesian well		Carlebach, Michael L.			Written on verso: "Man at artesan well near Lummus Park- the water smells of sulphur, but it heals the stomach"	Alcoholism; Florida; Photography, artistic; Photojournalism	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000390001001	Image		image/tiff				86099912 Bytes	4794	5985	1068074472	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000390001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/30	30	21.jp2	/asm0530/image/21.jp2
Sterno		Carlebach, Michael L.			Written on verso: "When you can't even afford MD 20-20, sterno will have to do"	Alcoholism; Florida; Photography, artistic; Photojournalism	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000060001001	Image		image/tiff				85209588 Bytes	5954	4769	1459868642	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000060001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/31	31	45.jp2	/asm0530/image/45.jp2
Lummus Park		Carlebach, Michael L.			Written on verso: "Lummus Park"	Florida; Photography, artistic; Photojournalism; Portrait photography; Lummus Park (Miami, Florida); Alcoholism;	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000570001001	Image		image/tiff				85274336 Bytes	4780	5945	3516771290	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000570001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/32	32	48.jp2	/asm0530/image/48.jp2
Man arrested for public intoxication		Carlebach, Michael L.			Written on verso: "Arrest for public intoxication"	Alcoholism; Florida; Photography, artistic; Photojournalism	Photographs				Miami (Florida)	1 b&w photograph; 20.3 x 25.4 cm (8 x 10 inches)	eng		University of Miami Libraries. Special Collections	Michael L. Carlebach Photography Collection	ASM0530		Box No. 14; Box Title: Alcoholics / Derelicts				cme		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300000230001001	Image		image/tiff				84983892 Bytes	5972	4742	3241879741	RGB	8 Bits Per Sample	600 Pixels Per Inch	asm05300000230001001.tif		2010-02-04	2011-03-11	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/33	33	14.jp2	/asm0530/image/14.jp2
