Title	Alternate Title	Photographer	Contributors	Summary	Note	Subject	Genre	Publisher	Date Original	Coverage Temporal	Coverage Spatial	Physical description	Language	Web Site	Repository	Collection Title	Collection No.	Series	Container	Donor	Sponsor	Provenance	Editor	Attention	Rights	Copyright	Object ID	Upload ID	Digital ID	Type	Date Digital	Format	Hardware	Software	Directory	File Size	Width	Height	Checksum	Color space	BitDepth	Resolution	Archive	OCLC number	Date created	Date modified	Reference URL	CONTENTdm number	CONTENTdm file name	CONTENTdm file path
Sunshine Key mangroves		Carlebach, Michael L.			Ohio Key was a small mangrove-covered island between Key West and Key Largo.  The island retained a community of buttonwood, mangroves, and salt ponds to about 1970. Between 1970 and 1973, its name was changed to "Sunshine Key" and changed the northern half of the island into a land fill for a travel trailer park.	Photography, artistic; Photojournalism; Florida Keys (Florida); Sunshine Key (Florida Keys, Florida); Ohio Key (Florida Keys, Florida); Mangrove swamps; Aerial photography;	Color slides;		1972	1970-1980	Florida Keys (Florida)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: Sunshine Key Development Tropic Jan - Feb 1972				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300046280001001	Image		image/tiff				19786232 Bytes	3119	2112	1203371972	RGB	8	2400	asm05300046280001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3692	3692	3826.jp2	/asm0530/image/3826.jp2
Sunshine Key trailer park		Carlebach, Michael L.			Written on slide: "Sunshine Key"; Ohio Key was a small mangrove-covered island between Key West and Key Largo.  The island retained a community of buttonwood, mangroves, and salt ponds to about 1970. Between 1970 and 1973, its name was changed to "Sunshine Key" and changed the northern half of the island into a land fill for a travel trailer park.	Photography, artistic; Photojournalism; Florida Keys (Florida); Sunshine Key (Florida Keys, Florida); Ohio Key (Florida Keys, Florida); Motor homes; Recreational vehicles; Trailers; Trailer camps	Color slides;		1972	1970-1980	Florida Keys (Florida)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: Sunshine Key Development Tropic Jan - Feb 1972				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300046360001001	Image		image/tiff				20030336 Bytes	3177	2099	4255764475	RGB	8	2400	asm05300046360001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3693	3693	3697.jp2	/asm0530/image/3697.jp2
O'Feldman house in Coconut Grove		Carlebach, Michael L.			Written on slide: "O'Feldman House Coconut Grove, FL"	Photography, artistic; Photojournalism; Architecture, Domestic; Coconut Grove (Miami, Florida); Dwellings; Coral limestone; Stone houses; Backyard gardens; Plant containers; Plants; Stone walls; Doorways; Birdhouses	Color slides;				Coconut Grove (Miami, Florida)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: Coral Rock Architecture Tropic Magazine				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300042780001001	Image		image/tiff				18241736 Bytes	2024	3000	3673118870	RGB	8	2400	asm05300042780001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3694	3694	3652.jp2	/asm0530/image/3652.jp2
Fire is set to keep warm during Miami freeze		Carlebach, Michael L.				Photography, artistic; Photojournalism; Florida; Miami (Florida); Cold waves (Meteorology); Winter; Fires	Color slides;		1976	1970-1980	Miami (Florida)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: Miami Freeze Winter 1976 - Black Star				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300045370001001	Image		image/tiff				19689104 Bytes	3168	2069	2824088136	RGB	8	2400	asm05300045370001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3695	3695	3778.jp2	/asm0530/image/3778.jp2
Cover of Krishna magazine		Carlebach, Michael L.			Written on slide: "Cover of Krishna magazine"	Photography, artistic; Photojournalism; Hare Krishnas; International Society for Krishna Consciousness; Coconut Grove (Miami, Florida); Small groups -- Religious aspects; Krishna (Hindu deity); Magazine covers	Color slides;		1974	1970-1980	Coconut Grove (Miami, Florida)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: Hari KrishnaTemple Coconut Grove April 1974 Tropic Mag				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300045020001001	Image		image/tiff				19865268 Bytes	2092	3161	936343747	RGB	8	2400	asm05300045020001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3696	3696	3392.jp2	/asm0530/image/3392.jp2
Hare Krishna celebration		Carlebach, Michael L.			Written on slide: "Hare Krishna celebration Miami, Florida"	Photography, artistic; Photojournalism; Hare Krishnas; International Society for Krishna Consciousness; Coconut Grove (Miami, Florida); Small groups -- Religious aspects; Krishna (Hindu deity)	Color slides;		1974	1970-1980	Coconut Grove (Miami, Florida)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: Hari KrishnaTemple Coconut Grove April 1974 Tropic Mag				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300044960001001	Image		image/tiff				20125852 Bytes	3154	2124	535233288	RGB	8	2400	asm05300044960001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3697	3697	3666.jp2	/asm0530/image/3666.jp2
Coral Castle		Carlebach, Michael L.			Written on slide: "Coral Castle, Homestead, Fla."	Photography, artistic; Photojournalism; Sculpture and architecture; Homestead (Florida); Coral limestone; Stone carving; Coral Castle (Homestead, Florida); Sculpture gardens -- Florida	Color slides;				Homestead (Florida)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: Coral Rock Architecture Tropic Magazine				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300043290001001	Image		image/tiff				18692620 Bytes	2015	3088	3964909760	RGB	8	2400	asm05300043290001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3698	3698	3455.jp2	/asm0530/image/3455.jp2
University of Miami baseball fans waiting outside of stadium		Carlebach, Michael L.				Photography, artistic; Photojournalism; College sports; Coral Gables (Florida); University of Miami; Baseball; Baseball fans; Stadiums; Aerial photography	Color slides;		1981	1980-1990	Coral Gables (Florida)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: UM Athletics 1981 Baseball, Star Players				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300044260001001	Image		image/tiff				37238080 Bytes	2015	3080	755587355	RGB	16	2400	asm05300044260001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3699	3699	3749.jp2	/asm0530/image/3749.jp2
Ticket booth at rodeo		Carlebach, Michael L.				Photography, artistic; Photojournalism; Florida; Rodeos	Color slides;		1973-02	1970-1980	Florida	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: Florida Rodeos Tropic Feb 1973				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300047370001001	Image		image/tiff				20095204 Bytes	2111	3169	89233379	RGB	8	2400	asm05300047370001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3700	3700	3575.jp2	/asm0530/image/3575.jp2
Woman bundles up to keep warm during Miami freeze		Carlebach, Michael L.			Written on slide: "Florida"	Photography, artistic; Photojournalism; Florida; Miami (Florida); Cold waves (Meteorology); Portrait photography; Winter;	Color slides;		1976	1970-1980	Miami (Florida)	1 color slide;	eng		University of Miami Libraries. Special Collections	Micheal L. Carlebach Photography Collection	ASM0530		Box No. 46; Folder Title: Miami Freeze Winter 1976 - Black Star				jrn		© Michael Carlebach. All rights reserved.	http://merrick.library.miami.edu/digitalprojects/copyright.html			asm05300045350001001	Image		image/tiff				19364212 Bytes	3171	2033	2449979887	RGB	8	2400	asm05300045350001001.tif		2012-02-28	2012-02-28	http://merrick.library.miami.edu:80/cdm/ref/collection/asm0530/id/3701	3701	3513.jp2	/asm0530/image/3513.jp2
